"Sample","Initial_Cells","Doublets_Found","Final_Singlets","Median_Genes","Median_UMIs","Mean_Mito_Pct","Cells_Removed","Retention_Rate_Pct"
"GSM5599220_Norm1",6281,450,5831,2289,8145,10.93,450,92.84
"GSM5599221_Norm2",5065,394,4671,3088,12955,8.94,394,92.22
"GSM5599222_Norm3",4365,258,4107,1790,5408,10.17,258,94.09
"GSM5599223_Norm4",6436,583,5853,3455,13284.5,10.06,583,90.94
"GSM5599224_Norm5",3968,255,3713,2576,9008,11.82,255,93.57
"GSM5599225_Cancer1",7818,841,6977,2083,5973,14.77,841,89.24
"GSM5599226_Cancer2",3699,226,3473,3108,11045,13.44,226,93.89
"GSM5599227_Cancer3",4744,355,4389,1841,4980,9.86,355,92.52
"GSM5599228_Cancer4",2479,125,2354,2328,7725,19.94,125,94.96
"GSM5599229_Cancer5",5484,437,5047,1651,4321,9.57,437,92.03
"GSM5599230_Cancer6",4570,317,4253,3172.5,10796,9.39,317,93.06
"GSM5599231_Cancer7",4752,317,4435,1371,3567.5,9.34,317,93.33
