"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,6.97350633235584,0.953,0.011,0,"MS4A1"
6.7360102318349e-264,7.05123021548457,0.903,0.079,1.50354484384787e-259,"LTB"
4.44880347463341e-231,6.16175945016522,0.955,0.259,9.93017423572923e-227,"HLA-DPB1"
8.95289362420072e-230,6.75359956269948,0.81,0.066,1.99837538585784e-225,"BANK1"
4.36762595797886e-226,6.26492537207085,0.998,0.478,9.7489779008046e-222,"HLA-DRA"
7.25753772854335e-224,5.52939408415626,0.955,0.284,1.61995499638816e-219,"CD52"
9.24215899845513e-216,5.82629887961925,0.903,0.203,2.06294231004517e-211,"HLA-DQA1"
3.28059862556671e-214,6.45144010172468,0.729,0.034,7.32262419212745e-210,"HLA-DMB"
5.8853956090014e-208,3.93305285056116,0.998,0.948,1.3136791538852e-203,"TMSB4X"
2.12854669414689e-206,3.01890065148572,0.998,0.97,4.75112907600528e-202,"CD74"
1.54973919020933e-205,5.07093058333946,0.959,0.423,3.45917284646625e-201,"CD37"
1.81544405260538e-202,5.59904958739864,0.905,0.258,4.05225266982046e-198,"HLA-DQB1"
7.41594736424264e-200,4.72872967985385,0.971,0.571,1.6553136111726e-195,"HLA-DPA1"
1.66840674145053e-199,-4.70072461026678,0.144,0.983,3.72405068759173e-195,"MZB1"
1.67038563943925e-197,-4.73300259813194,0.165,0.978,3.72846778579234e-193,"XBP1"
2.41872698060784e-193,-3.39551402759462,0.664,0.979,5.39884049341475e-189,"SSR4"
5.54619433833547e-192,2.41836617151615,0.993,0.978,1.23796603825986e-187,"EEF1A1"
3.72995911709366e-191,2.81680363957904,0.989,0.942,8.32564174526475e-187,"RPL13A"
5.44263151752552e-191,2.6609902976032,0.986,0.963,1.21484978102687e-186,"RPL11"
1.02665713483429e-189,5.31958503991705,0.932,0.402,2.29160139066361e-185,"HLA-DRB1"
1.75009058811545e-188,2.43092818562387,0.998,0.97,3.9063772017325e-184,"RPS18"
3.54574526767258e-188,3.04008704454976,0.986,0.957,7.91445801197196e-184,"RPS27"
1.16012064425771e-187,2.32068486326833,0.995,0.948,2.58950529004764e-183,"PTMA"
7.89626801882335e-187,2.78146084988572,0.991,0.94,1.76252598448156e-182,"RPL32"
1.15330524402193e-186,2.84514913891151,0.991,0.94,2.57429263518136e-182,"TMSB10"
2.39181174981686e-185,2.62684852563108,0.977,0.94,5.33876300676622e-181,"RPLP2"
5.23398683610683e-185,5.65918953221742,0.666,0.037,1.16827820168741e-180,"RIPOR2"
6.20081198466103e-185,2.42497199839243,0.986,0.979,1.38408324309619e-180,"RPL28"
2.2888273626626e-184,6.8623651664256,0.609,0.013,5.10889155619918e-180,"MARCH1"
4.38508633905125e-184,3.46528481610161,0.977,0.836,9.7879512173963e-180,"ACTB"
