"audit_cluster","n_cells","Myeloid_core","B_cell","Plasma_cell","T_cell","cDC","pDC","strongest_non_B","B_like_cluster","proposed_B_subtype","reannotation_decision"
"0",935,0.64367201426025,0.00285204991087344,0.066096256684492,0.0213903743315508,0.0224598930481283,0.00668449197860963,0.64367201426025,FALSE,"Not B-like","KEEP_AS_MYELOID"
"1",903,0.598375784422296,0.00645994832041344,0.098781838316722,0.0168881506090808,0.0207641196013289,0.00304540420819491,0.598375784422296,FALSE,"Not B-like","KEEP_AS_MYELOID"
"10",283,0.922850412249706,0.0424028268551237,0.140636042402827,0.0459363957597173,0.568904593639576,0.0379858657243816,0.922850412249706,FALSE,"Not B-like","KEEP_AS_MYELOID"
"2",787,0.939220669207963,0.0129182549767048,0.104701397712834,0.0127064803049555,0.099428208386277,0.00285895806861499,0.939220669207963,FALSE,"Not B-like","KEEP_AS_MYELOID"
"3",771,0.915910073497622,0.0224816255944661,0.179766536964981,0.0408560311284047,0.119001297016861,0.0119974059662776,0.915910073497622,FALSE,"Not B-like","KEEP_AS_MYELOID"
"4",706,0.983947119924457,0.018413597733711,0.16600566572238,0.0676345609065156,0.061614730878187,0.0258498583569405,0.983947119924457,FALSE,"Not B-like","KEEP_AS_MYELOID"
"5",689,0.95670053217223,0.00895016932752782,0.138751814223512,0.0268505079825835,0.0562409288824383,0.00689404934687954,0.95670053217223,FALSE,"Not B-like","KEEP_AS_MYELOID"
"6",505,0.894059405940594,0.00924092409240924,0.146138613861386,0.0316831683168317,0.0287128712871287,0.00841584158415842,0.894059405940594,FALSE,"Not B-like","KEEP_AS_MYELOID"
"7",443,0.170805116629044,0.709179834462002,0.13589164785553,0.103837471783296,0.0253950338600451,0.0101580135440181,0.170805116629044,TRUE,"B-cell-like","REASSIGN_TO_B_CELL_PLASMA"
"8",316,0.963080168776371,0.0506329113924051,0.136075949367089,0.0348101265822785,0.0854430379746835,0.0102848101265823,0.963080168776371,FALSE,"Not B-like","KEEP_AS_MYELOID"
"9",287,0.461672473867596,0.0418118466898955,0.241114982578397,0.0444250871080139,0.0418118466898955,0.281358885017422,0.461672473867596,FALSE,"Not B-like","KEEP_AS_MYELOID"
