"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9"
"SLC2A1",64,486,66,48,249,6,1461,208,103,0
"OLFML3",524,1135,1393,161,1537,3,118,32,40,1
"CD2",42,201,34,13,125,18,36,8,43,1
"TCOF1",3213,2337,3575,2315,698,167,734,248,428,51
"CD36",317,286,46,45,363,626,882,23,623,74
"TMEM176B",1842,3099,2185,205,7499,570,1110,108,767,133
"LPAR6",2491,1610,2076,822,1424,165,551,266,407,111
"CCL3L3",4761,17534,15982,11818,5476,5395,4666,300,12364,314
"SIGLEC15",4,262,11,6,28,1,36,3,5,1
"APOBEC3A",58,90,23,210,3551,696,93,9,193,171
