"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9"
"SLC2A1",-0.462065751829933,0.488649739502255,-0.457559991207505,-0.498111836809352,-0.0452828942553957,-0.592732809880328,2.68520804293563,-0.137650987015158,-0.374203419692598,-0.606250091747611
"OLFML3",0.0477130896174253,1.03260152732847,1.44847913277765,-0.537417029677351,1.68059686605161,-0.792101764797391,-0.606729963918881,-0.74535583240194,-0.732460402775609,-0.795325622203974
"CD2",-0.160804605007912,2.37067383026515,-0.288174589172594,-0.622520797604885,1.16065898070067,-0.542914557501959,-0.256332093131423,-0.702127037707812,-0.144883356987326,-0.813575773851909
"TCOF1",1.36558696451993,0.714174319715171,1.63477803463331,0.697814641420987,-0.504621713201494,-0.89948485748383,-0.477851330538285,-0.839251496491609,-0.705399583175563,-0.985744979398616
"CD36",-0.03849989674141,-0.142282227087819,-0.945758332995505,-0.949106150103454,0.11549969022423,0.995975589614736,1.8530167692496,-1.02275812647833,0.98593213829089,-0.852019453972942
"TMEM176B",0.0401011573850871,0.598938794115181,0.192592254758534,-0.687677053694598,2.55509281289992,-0.525405186227227,-0.285331738467283,-0.730801358199625,-0.437822835840729,-0.719686846729257
"LPAR6",1.7576606109882,0.724432481088553,1.27095269508769,-0.199726164043031,0.506293511552417,-0.970249298372283,-0.517552297076863,-0.851797492333844,-0.686434079943548,-1.03357996694729
"CCL3L3",-0.503500871901354,1.57108513996832,1.31900986474545,0.642694500036663,-0.387370832091848,-0.400526822615722,-0.518930737330588,-1.22805486853101,0.73137562134574,-1.22578099362565
"SIGLEC15",-0.394242489593541,2.81441878217723,-0.307185788421466,-0.36936914640152,-0.0957623712892829,-0.431552504381573,0.00373100147880319,-0.406679161189552,-0.38180581799753,-0.431552504381573
"APOBEC3A",-0.41534315585787,-0.38589924582807,-0.447547432452964,-0.275484583216319,2.79864364833251,0.171694800361273,-0.383138879262776,-0.460429143091001,-0.29112666041965,-0.311369348565138
