"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.8899924774555e-226,5.56822108826247,0.526,0.025,1.09149522089284e-221,"9","CD79B"
1.47087460323739e-165,5.57238433614622,0.344,0.014,3.28313920188618e-161,"9","NEURL1"
3.41807146188082e-163,5.11491245733465,0.753,0.097,7.62947731006417e-159,"9","CDKN1C"
1.57947901365395e-158,3.75334840634166,0.727,0.086,3.52555510637699e-154,"9","RIPOR2"
8.80919053155514e-140,3.05448718788554,0.812,0.122,1.96629941854842e-135,"9","CFP"
1.21580137591384e-120,4.68489893363529,0.383,0.027,2.71379025117728e-116,"9","CDH23"
1.45972705135168e-120,3.74010853195552,0.747,0.133,3.25825675132209e-116,"9","TCF7L2"
2.48606954986607e-118,5.07017132433351,0.286,0.014,5.54915584225606e-114,"9","TNFRSF8"
5.07769498825637e-115,3.60152806014489,0.617,0.085,1.1333922983287e-110,"9","GPBAR1"
4.72902685763786e-113,3.53811177768055,0.506,0.054,1.05556608489335e-108,"9","SLC24A4"
1.59551229101256e-112,3.3045464018286,0.682,0.108,3.56134298476914e-108,"9","LILRA5"
5.09530956459702e-111,3.62992512453408,0.708,0.121,1.1373240479137e-106,"9","PLAC8"
1.79497004299489e-108,7.55172038906152,0.26,0.013,4.00655263296889e-104,"9","LYPD2"
2.60826406618121e-106,6.73287140939296,0.13,0.002,5.82190622212307e-102,"9","SH2D1B"
1.58697006908119e-104,6.21230704639012,0.169,0.004,3.54227589119611e-100,"9","CEACAM3"
2.44750781234439e-100,3.60619782700057,0.818,0.216,5.4630821879339e-96,"9","SPN"
1.70921054182576e-99,3.43832568430955,0.922,0.311,3.81512885040928e-95,"9","CD52"
3.33430521103889e-94,3.50132485812429,0.838,0.236,7.44250266155992e-90,"9","SMIM25"
4.0248700947826e-88,3.8227249074623,0.37,0.036,8.98391253856424e-84,"9","SYTL1"
5.80915229830911e-84,3.88311275859018,0.357,0.035,1.29666088450558e-79,"9","P2RX1"
1.70838561418489e-83,3.91477319887649,0.481,0.069,3.81328752942209e-79,"9","S1PR4"
5.88629187572892e-80,4.3149880388357,0.344,0.035,1.31387920958145e-75,"9","CYFIP2"
1.84919970607824e-79,3.64340845259404,0.403,0.049,4.12759866393724e-75,"9","C11orf21"
2.16907936170005e-79,3.36867626056524,0.617,0.127,4.84160204325067e-75,"9","ICAM2"
4.3810215141976e-79,2.71601147190676,0.968,0.772,9.77887812184045e-75,"9","LST1"
1.68074855896395e-78,3.89818906630294,0.416,0.054,3.75159885846342e-74,"9","TESC"
1.13736565853321e-77,2.20040289125048,0.981,0.76,2.53871388641197e-73,"9","COTL1"
8.59142969252101e-77,3.64384995183722,0.299,0.026,1.91769302166761e-72,"9","TPPP3"
6.40769363168092e-75,3.50788147309235,0.468,0.072,1.4302612955275e-70,"9","LILRA1"
9.96335832803359e-75,2.12118034914916,0.877,0.26,2.22392121240038e-70,"9","FCN1"
2.46171425699548e-74,2.89987317305432,0.903,0.398,5.49479239303961e-70,"9","LILRB2"
3.08743361680619e-70,3.58179157584401,0.513,0.095,6.89146057607309e-66,"9","PLAGL2"
4.0579460170145e-67,2.46781565331277,0.812,0.267,9.05774130457807e-63,"9","MTSS1"
2.52391881992093e-65,2.49604172060872,0.89,0.379,5.63363919794552e-61,"9","CFD"
5.61404561067681e-65,3.63038739093564,0.338,0.041,1.25311112075917e-60,"9","ADGRE1"
6.49145091022391e-64,2.79939253417157,0.831,0.341,1.44895675767108e-59,"9","LYST"
1.40704538150607e-63,2.72918093794354,0.513,0.098,3.14066599605969e-59,"9","HES4"
3.30669423213269e-62,1.61964410394458,0.968,0.847,7.38087219554337e-58,"9","CTSS"
1.02668890075537e-61,2.26895499586921,0.792,0.274,2.29167229537607e-57,"9","MYO1G"
1.11700102727475e-60,3.09260957627332,0.526,0.112,2.49325799297997e-56,"9","SLC2A6"
7.4378247543014e-59,2.03446430646487,0.916,0.564,1.66019686340762e-54,"9","SERPINA1"
1.59148462975725e-58,3.47527560888271,0.338,0.046,3.55235284208115e-54,"9","SVIL"
5.02170226574996e-58,1.45058722683159,0.981,0.945,1.12089416273805e-53,"9","RPS19"
