"resolution","n_clusters","scan","distance_from_paper"
0.4,10,"fine",0
0.41,10,"fine",0
0.42,9,"fine",1
0.43,9,"fine",1
0.44,10,"fine",0
0.45,10,"fine",0
0.46,10,"fine",0
0.47,10,"fine",0
0.48,10,"fine",0
0.49,10,"fine",0
0.5,10,"coarse",0
0.51,10,"fine",0
0.52,10,"fine",0
0.53,10,"fine",0
0.54,10,"fine",0
0.55,10,"fine",0
0.56,10,"fine",0
0.57,11,"fine",1
0.58,11,"fine",1
0.59,10,"fine",0
0.6,10,"coarse",0
0.7,12,"coarse",2
0.8,15,"coarse",5
0.9,15,"coarse",5
1,17,"coarse",7
1.1,17,"coarse",7
1.2,20,"coarse",10
1.3,19,"coarse",9
1.4,20,"coarse",10
1.5,21,"coarse",11
1.6,21,"coarse",11
1.7,23,"coarse",13
1.8,24,"coarse",14
1.9,24,"coarse",14
2,25,"coarse",15
