"final_macrophage_label","clinical_stage_group","n","fraction"
"Mac-FOLR2-LYVE1-resident","Normal",145,0.132420091324201
"Mac-FOLR2-LYVE1-resident","Early",125,0.114155251141553
"Mac-FOLR2-LYVE1-resident","Advanced",825,0.753424657534247
"Mac-Cycling","Normal",39,0.0533515731874145
"Mac-Cycling","Early",138,0.188782489740082
"Mac-Cycling","Advanced",554,0.757865937072503
"Mac-OLFML3-CX3CR1-resident","Normal",60,0.0963081861958267
"Mac-OLFML3-CX3CR1-resident","Early",58,0.0930979133226324
"Mac-OLFML3-CX3CR1-resident","Advanced",505,0.810593900481541
"Mac-TNF-CCL4-inflammatory","Normal",26,0.0435510887772194
"Mac-TNF-CCL4-inflammatory","Early",208,0.348408710217755
"Mac-TNF-CCL4-inflammatory","Advanced",363,0.608040201005025
"C7-APOBEC3A-like","Normal",20,0.033955857385399
"C7-APOBEC3A-like","Early",334,0.567062818336163
"C7-APOBEC3A-like","Advanced",235,0.398981324278438
"Mono-FCN1-S100A8-S100A9","Normal",409,0.777566539923954
"Mono-FCN1-S100A8-S100A9","Early",53,0.100760456273764
"Mono-FCN1-S100A8-S100A9","Advanced",64,0.121673003802281
"C6-SLC2A1-like","Normal",67,0.131889763779528
"C6-SLC2A1-like","Early",50,0.0984251968503937
"C6-SLC2A1-like","Advanced",391,0.769685039370079
"Mac-NUPR1-IGF2-stress","Normal",28,0.0648148148148148
"Mac-NUPR1-IGF2-stress","Early",96,0.222222222222222
"Mac-NUPR1-IGF2-stress","Advanced",308,0.712962962962963
"Myeloid-CLEC10A-APC","Normal",164,0.459383753501401
"Myeloid-CLEC10A-APC","Early",46,0.128851540616246
"Myeloid-CLEC10A-APC","Advanced",147,0.411764705882353
"Mono-CDKN1C","Normal",128,0.831168831168831
"Mono-CDKN1C","Early",4,0.025974025974026
"Mono-CDKN1C","Advanced",22,0.142857142857143
