"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.64896330845226e-185,4.00808907197427,0.57,0.077,3.68065100079629e-181,"8","APOBEC3A"
5.56080778331145e-143,2.82540542324188,0.861,0.288,1.24122790531295e-138,"8","WARS"
4.74903428775176e-140,2.98432567252211,0.538,0.092,1.06003194336907e-135,"8","LILRA5"
9.4259095645723e-134,2.59500412725313,0.655,0.146,2.10395727390818e-129,"8","GCH1"
8.65475656850523e-133,2.99576418954419,0.728,0.193,1.93182821365605e-128,"8","SMIM25"
1.3493012427293e-114,1.99698852603274,0.94,0.5,3.01177530389606e-110,"8","SERPINA1"
7.63439587908126e-103,1.74960994432089,0.756,0.225,1.70407350416973e-98,"8","FCN1"
2.31039583383737e-98,2.89631361463293,0.408,0.072,5.1570345407084e-94,"8","GPBAR1"
1.61884842281585e-96,2.99066545876262,0.304,0.039,3.61343156456725e-92,"8","FPR2"
2.12340093801631e-94,2.04509229695676,0.816,0.351,4.7396432337462e-90,"8","VAMP5"
7.199229707751e-88,1.55808253562285,0.981,0.706,1.6069400630671e-83,"8","IFITM3"
1.51840533317194e-86,0.830653046398225,0.924,0.453,3.38923254417309e-82,"8","S100A9"
8.18649093182965e-84,2.09674686547021,0.506,0.122,1.8273066408937e-79,"8","CFP"
1.07856091820003e-83,1.70404581535522,0.899,0.527,2.40745582551428e-79,"8","CALHM6"
4.65013049686271e-80,1.19373795648761,0.997,0.844,1.03795562820473e-75,"8","S100A6"
3.10339135021278e-77,1.93597182049046,0.785,0.322,6.92707983280994e-73,"8","CFD"
2.78690426093588e-76,1.60427758783321,0.848,0.364,6.22064900083498e-72,"8","CD52"
1.25296862875702e-75,1.94195204983441,0.566,0.166,2.79675127624855e-71,"8","PLAC8"
2.07244402486499e-74,2.33096391909229,0.763,0.355,4.62590230790115e-70,"8","TNFSF10"
8.90250167117991e-74,1.88478119915218,0.775,0.35,1.98712739802407e-69,"8","LILRB2"
5.85127423274826e-73,1.20107338174928,0.994,0.755,1.30606292149174e-68,"8","S100A4"
3.96369984357294e-71,1.20552518533709,0.747,0.293,8.84737442083916e-67,"8","S100A8"
5.48031386020645e-71,1.45294385416888,0.886,0.532,1.22326085673668e-66,"8","PRELID1"
2.35383429327555e-69,1.99139506506229,0.873,0.566,5.25399352602035e-65,"8","FCGR3A"
4.4332862346984e-69,1.27530984073693,0.981,0.758,9.89553820447031e-65,"8","AIF1"
1.03878867445391e-68,2.66493482188087,0.56,0.184,2.31868020024858e-64,"8","RETN"
2.31832604114005e-66,1.47152799312103,0.823,0.427,5.1747355564287e-62,"8","NCF2"
1.92804165495066e-65,2.83391103651422,0.361,0.08,4.30358177801536e-61,"8","CXCL11"
3.41358823211132e-65,1.41435314502594,0.892,0.509,7.61947029289568e-61,"8","CARD16"
5.26695239860907e-65,1.4916130129563,0.94,0.741,1.17563644489353e-60,"8","COTL1"
1.3188243218649e-64,3.75832657311907,0.152,0.014,2.94374776883465e-60,"8","NEURL1"
3.47318563477958e-63,1.63990352415828,0.684,0.273,7.75249765539149e-59,"8","FGR"
3.50682324449397e-63,1.60955804233754,0.896,0.569,7.82758016403499e-59,"8","IFITM2"
2.8618903572623e-62,2.70220008062974,0.31,0.063,6.38802546644517e-58,"8","LILRA1"
4.05368990403725e-62,0.822232087089218,0.981,0.875,9.04824123480154e-58,"8","OAZ1"
3.34014474401792e-61,1.07082746611163,0.972,0.795,7.45553708312239e-57,"8","FCER1G"
3.47986204840176e-61,1.89986042432085,0.946,0.715,7.76740007823757e-57,"8","LST1"
3.89969566346926e-60,1.54883874633365,0.671,0.271,8.70451069042974e-56,"8","MYO1G"
7.26341725173546e-60,1.81154497007603,0.544,0.186,1.62126736475987e-55,"8","SECTM1"
