"cluster","n_cells","Myeloid_core","B_cell","T_cell","cDC","pDC","Epithelial","Fibroblast","dominant_immune_contaminant","epithelial_warning","fibroblast_warning","keep_as_myeloid","decision"
"0",935,0.64367201426025,0.00128342245989305,0.0213903743315508,0.0224598930481283,0.00668449197860963,0.178823529411765,0.143850267379679,0.0224598930481283,FALSE,FALSE,TRUE,"KEEP"
"1",903,0.598375784422296,0.00398671096345515,0.0168881506090808,0.0207641196013289,0.00304540420819491,0.226356589147287,0.0705980066445183,0.0207641196013289,FALSE,FALSE,TRUE,"KEEP"
"10",283,0.922850412249706,0.0325088339222615,0.0459363957597173,0.568904593639576,0.0379858657243816,0.142756183745583,0.135159010600707,0.568904593639576,FALSE,FALSE,FALSE,"EXCLUDE"
"2",787,0.939220669207963,0.00736975857687421,0.0127064803049555,0.099428208386277,0.00285895806861499,0.0866581956797967,0.141677255400254,0.099428208386277,FALSE,FALSE,TRUE,"KEEP"
"3",771,0.915910073497622,0.0202334630350195,0.0408560311284047,0.119001297016861,0.0119974059662776,0.325291828793774,0.161154345006485,0.119001297016861,TRUE,FALSE,TRUE,"KEEP"
"4",706,0.983947119924457,0.0147308781869688,0.0676345609065156,0.061614730878187,0.0258498583569405,0.222379603399433,0.109773371104816,0.0676345609065156,FALSE,FALSE,TRUE,"KEEP"
"5",689,0.95670053217223,0.00638606676342525,0.0268505079825835,0.0562409288824383,0.00689404934687954,0.270827285921626,0.106676342525399,0.0562409288824383,TRUE,FALSE,TRUE,"KEEP"
"6",505,0.894059405940594,0.00554455445544554,0.0316831683168317,0.0287128712871287,0.00841584158415842,0.334257425742574,0.179207920792079,0.0316831683168317,TRUE,FALSE,TRUE,"KEEP"
"7",443,0.170805116629044,0.686230248306998,0.103837471783296,0.0253950338600451,0.0101580135440181,0.100677200902935,0.0434537246049661,0.686230248306998,FALSE,FALSE,FALSE,"EXCLUDE"
"8",316,0.963080168776371,0.010126582278481,0.0348101265822785,0.0854430379746835,0.0102848101265823,0.108227848101266,0.0759493670886076,0.0854430379746835,FALSE,FALSE,TRUE,"KEEP"
"9",287,0.461672473867596,0.0411149825783972,0.0444250871080139,0.0418118466898955,0.281358885017422,0.149825783972125,0.0653310104529617,0.281358885017422,FALSE,FALSE,FALSE,"EXCLUDE"
