"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.56585955584274e-46,6.37347850584932,0.12,0.013,3.49515511459657e-42,"8","LYPD2"
1.64896330845226e-185,4.00808907197427,0.57,0.077,3.68065100079629e-181,"8","APOBEC3A"
6.30790238053383e-59,3.93683797795984,0.354,0.09,1.40798689035896e-54,"8","CDKN1C"
3.76844537263168e-56,3.89200889891516,0.139,0.014,8.41154691625117e-52,"8","TNFRSF8"
1.3188243218649e-64,3.75832657311907,0.152,0.014,2.94374776883465e-60,"8","NEURL1"
8.87876268174596e-36,3.20008165689396,0.117,0.016,1.98182861819252e-31,"8","L1TD1"
8.91259457778539e-45,3.16391453163661,0.171,0.027,1.98938023570748e-40,"8","IL27"
3.91039993426236e-56,3.01845601186606,0.177,0.023,8.72840369326702e-52,"8","TPPP3"
8.65475656850523e-133,2.99576418954419,0.728,0.193,1.93182821365605e-128,"8","SMIM25"
1.61884842281585e-96,2.99066545876262,0.304,0.039,3.61343156456725e-92,"8","FPR2"
4.74903428775176e-140,2.98432567252211,0.538,0.092,1.06003194336907e-135,"8","LILRA5"
4.52811218217815e-50,2.93453534956307,0.199,0.032,1.01071992018399e-45,"8","FFAR2"
9.3049623352382e-38,2.92241643469661,0.259,0.068,2.07696064284852e-33,"8","DEFB1"
2.31039583383737e-98,2.89631361463293,0.408,0.072,5.1570345407084e-94,"8","GPBAR1"
1.0916726088907e-58,2.89307747771268,0.203,0.029,2.43672243030493e-54,"8","CDH23"
4.19261404484639e-39,2.87205734261125,0.168,0.029,9.35833380950163e-35,"8","CASP5"
1.69163914572493e-48,2.86889107425317,0.206,0.035,3.77590773717262e-44,"8","ADGRE1"
1.92804165495066e-65,2.83391103651422,0.361,0.08,4.30358177801536e-61,"8","CXCL11"
5.56080778331145e-143,2.82540542324188,0.861,0.288,1.24122790531295e-138,"8","WARS"
1.8310150386762e-53,2.80547588355684,0.535,0.201,4.08700866782914e-49,"8","CXCL10"
1.12832893279409e-91,4.13646378985386,0.109,0.006,2.51854301088969e-87,"4","PLA2G2D"
4.09049545635344e-153,3.55282804186018,0.177,0.008,9.13039490812651e-149,"4","KCNJ10"
1.15765330672723e-245,3.20263773068642,0.483,0.068,2.58399794594585e-241,"4","ADAMDEC1"
3.64516649297745e-78,3.02058629902993,0.103,0.007,8.13637612897496e-74,"4","LINC01914"
4.18995485112214e-181,2.76972816543816,0.506,0.107,9.35239822318973e-177,"4","CXCL9"
9.89693712308441e-174,2.72899409643938,0.268,0.024,2.20909533524367e-169,"4","UBD"
1.19403648591173e-145,2.69966952051697,0.268,0.031,2.66520884020358e-141,"4","VCAM1"
3.17504174821788e-158,2.59128025229614,0.293,0.034,7.08701068619714e-154,"4","PDCD1LG2"
1.31563915832379e-187,2.34711411237053,0.778,0.299,2.93663816529454e-183,"4","SERPING1"
9.20677956135122e-270,2.34040866657962,0.983,0.499,2.05504526588921e-265,"4","C1QB"
1.27913615414626e-207,2.33915087840577,0.953,0.579,2.85515980966987e-203,"4","APOE"
2.31519333797772e-136,2.31484427757243,0.353,0.063,5.16774304970008e-132,"4","CXCL11"
5.58481017401558e-72,2.2357046538639,0.142,0.018,1.24658547894202e-67,"4","CCL13"
1.56376574560329e-156,2.19385571556301,0.412,0.076,3.49048152076111e-152,"4","LAG3"
3.0251132818205e-96,2.17256899713081,0.343,0.082,6.75235535635153e-92,"4","CCL8"
1.33246174712766e-266,2.15950854506537,0.98,0.479,2.97418786576364e-262,"4","C1QC"
7.80422500886546e-72,2.11068319093835,0.109,0.009,1.74198106422886e-67,"4","AL162414.1"
7.23020376385132e-68,2.10417083174256,0.242,0.057,1.61385378212925e-63,"4","ENPP2"
1.798737332649e-179,2.07636526701862,0.926,0.513,4.01496160020584e-175,"4","APOC1"
9.39135190123035e-115,2.0461762141688,0.545,0.178,2.09624365787363e-110,"4","CXCL10"
2.66211263267688e-21,2.56619103507702,0.103,0.035,5.94210160739806e-17,"1","LSMEM1"
1.0093790462127e-24,2.54860600957534,0.107,0.034,2.25303496905137e-20,"1","TLCD2"
2.87410412505914e-56,2.45077179606819,0.323,0.14,6.4152878175445e-52,"1","Z93241.1"
7.15406688358668e-29,2.43827367442954,0.179,0.074,1.59685926908538e-24,"1","AC004817.3"
4.76358348093622e-21,2.41581343794909,0.176,0.085,1.06327946877977e-16,"1","AC106028.4"
1.29672230493337e-33,2.41281157234771,0.208,0.087,2.89441385684177e-29,"1","LINC00346"
5.23145488910165e-23,2.40890024116987,0.134,0.052,1.16771304579638e-18,"1","AC090527.3"
1.39465421708673e-49,2.36695928085972,0.337,0.163,3.11300767795929e-45,"1","AL360012.1"
4.35341473317743e-31,2.3511241245334,0.166,0.062,9.71725702592535e-27,"1","FAM71A"
9.09393892012705e-33,2.33716390230427,0.246,0.119,2.02985810636156e-28,"1","ICAM4"
1.35679958448872e-07,2.32366843258688,0.105,0.062,0.00302851235253727,"1","TCHH"
3.33287734141357e-45,2.28055615532682,0.309,0.147,7.43931551376924e-41,"1","POLG2"
4.89297800520137e-44,2.24774780802345,0.241,0.096,1.092161620541e-39,"1","AL442128.2"
4.952330738205e-16,2.23748031906451,0.163,0.087,1.10540974407474e-11,"1","ZSWIM4"
3.57449622389394e-37,2.21810765721974,0.341,0.196,7.97863302135367e-33,"1","MTO1"
3.20087246400735e-36,2.16043221998722,0.332,0.189,7.14466742691081e-32,"1","BEST1"
2.11199326873545e-22,2.13776385343405,0.169,0.077,4.7141801751444e-18,"1","AL645728.1"
9.69619635448376e-56,2.11961983847157,0.559,0.415,2.16428798828432e-51,"1","TCOF1"
3.16514319502019e-08,2.11131739805854,0.151,0.099,0.000706491612560456,"1","PPM1N"
4.66222245805808e-37,2.07419056046864,0.392,0.254,1.04065467486314e-32,"1","HEXIM1"
0,6.37361689492748,0.605,0.033,0,"2","S100A12"
9.58345325128122e-88,4.70562435572311,0.105,0.006,2.13912260021848e-83,"2","NFE2"
0,4.69145812196825,0.91,0.235,0,"2","S100A8"
0,4.61017816871938,0.961,0.41,0,"2","S100A9"
2.08173311937958e-228,4.1837223205786,0.358,0.039,4.64663649576716e-224,"2","THBS1"
1.31299363341615e-198,4.14848122461076,0.307,0.032,2.9307330891482e-194,"2","CDA"
0,3.90763563047845,0.87,0.157,0,"2","VCAN"
1.30112422886651e-55,3.74689290810807,0.118,0.018,2.90423939125295e-51,"2","CES1"
9.59921500008256e-124,3.72150073809844,0.229,0.03,2.14264078016843e-119,"2","NRG1"
5.3337090431643e-80,3.6909406388316,0.141,0.017,1.1905371955247e-75,"2","NHSL2"
1.52508784739619e-102,3.60885610363526,0.183,0.022,3.40414858417304e-98,"2","MCEMP1"
0,3.57346867998684,0.921,0.16,0,"2","FCN1"
1.38431552654912e-154,3.55629910036289,0.339,0.059,3.0899306868103e-150,"2","RBP7"
3.82922053701146e-145,3.48993277139624,0.328,0.058,8.54720316066328e-141,"2","AC245128.3"
0,3.48054196245492,0.598,0.079,0,"2","CFP"
1.30559499519233e-60,3.47567751129337,0.16,0.031,2.9142185887688e-56,"2","PTX3"
4.75731345653493e-292,3.40682618572895,0.643,0.131,1.06187993663316e-287,"2","EREG"
2.76557124341936e-146,3.382175573268,0.368,0.077,6.17303157243635e-142,"2","NRGN"
1.15984463118336e-43,3.32846942484286,0.111,0.02,2.58888920126437e-39,"2","VSTM1"
1.43167657776906e-57,3.27050931719139,0.141,0.025,3.19564528923832e-53,"2","CLEC4D"
2.78057966941651e-22,3.39122702840429,0.123,0.047,6.20653188010458e-18,"0","LYVE1"
1.92641085556344e-55,2.93752306034418,0.358,0.178,4.29994167070316e-51,"0","SELENOP"
2.41756179021623e-21,2.56680450619582,0.128,0.051,5.39623967194164e-17,"0","LILRB5"
