"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.79497004299475e-108,7.55172038906152,0.26,0.013,4.00655263296858e-104,"9","LYPD2"
2.60826406618202e-106,6.73287140939296,0.13,0.002,5.82190622212488e-102,"9","SH2D1B"
1.5869700690818e-104,6.21230704639012,0.169,0.004,3.54227589119748e-100,"9","CEACAM3"
1.4708746032371e-165,5.57238433614622,0.344,0.014,3.28313920188554e-161,"9","NEURL1"
4.88999247745661e-226,5.56822108826247,0.526,0.025,1.09149522089309e-221,"9","CD79B"
3.41807146188082e-163,5.11491245733465,0.753,0.097,7.62947731006417e-159,"9","CDKN1C"
2.48606954986628e-118,5.07017132433351,0.286,0.014,5.54915584225651e-114,"9","TNFRSF8"
1.21580137591384e-120,4.68489893363529,0.383,0.027,2.71379025117728e-116,"9","CDH23"
9.15999951767348e-50,4.64444242808041,0.169,0.013,2.0446034923399e-45,"9","AC064805.1"
5.04688179758622e-56,4.55609201182545,0.208,0.018,1.12651448603922e-51,"9","L1TD1"
2.51835588805642e-42,4.41385974520546,0.11,0.006,5.62122217773074e-38,"9","LINC02384"
5.88629187572892e-80,4.3149880388357,0.344,0.035,1.31387920958145e-75,"9","CYFIP2"
4.83821167527903e-14,4.06088706253677,0.104,0.018,1.07993722803903e-09,"9","IGFBP6"
1.70838561418489e-83,3.91477319887649,0.481,0.069,3.81328752942209e-79,"9","S1PR4"
1.68074855896406e-78,3.89818906630294,0.416,0.054,3.75159885846367e-74,"9","TESC"
5.80915229830911e-84,3.88311275859018,0.357,0.035,1.29666088450558e-79,"9","P2RX1"
4.02487009478289e-88,3.8227249074623,0.37,0.036,8.98391253856488e-84,"9","SYTL1"
2.43585037496227e-49,3.81818101915451,0.169,0.013,5.43706162195329e-45,"9","ADGRE3"
1.29869846829338e-49,3.76921319639624,0.156,0.011,2.89882485107765e-45,"9","RAB37"
1.57947901365395e-158,3.75334840634166,0.727,0.086,3.52555510637699e-154,"9","RIPOR2"
5.29152929216509e-24,3.27912878726695,0.132,0.052,1.18112225330417e-19,"0","LYVE1"
3.32588524702699e-115,3.10926276461154,0.458,0.177,7.42370845988895e-111,"0","SELENOP"
1.47957092335494e-32,2.65482820824293,0.153,0.053,3.30255025802056e-28,"0","LILRB5"
1.94932152181803e-53,2.50695392846339,0.363,0.187,4.35108056885004e-49,"0","FOLR2"
3.41155803188506e-56,2.30233792698639,0.359,0.174,7.61493868297065e-52,"0","SLC40A1"
3.52133470782689e-24,2.21711307840065,0.342,0.236,7.85997120134039e-20,"0","F13A1"
4.34170267496676e-53,2.18506723724197,0.257,0.095,9.69111454079332e-49,"0","IGF1"
4.36218406028911e-18,2.05363988342568,0.116,0.048,9.73683104097132e-14,"0","KCNJ5"
2.18771072709719e-51,2.02073209023489,0.43,0.252,4.88318911395363e-47,"0","MRC1"
3.6552500940783e-20,1.92981878425134,0.167,0.082,8.15888373499217e-16,"0","WLS"
2.41810042115593e-09,1.91401036204743,0.117,0.068,5.39744195006216e-05,"0","ME1"
2.9002036467034e-12,1.70583720770911,0.138,0.077,6.47354455980666e-08,"0","RYR1"
1.30980933620709e-11,1.68693631624604,0.192,0.127,2.92362541934785e-07,"0","SLC46A3"
1.6964535054518e-87,1.66372280263308,0.675,0.475,3.78665386951896e-83,"0","MAF"
4.11598689913318e-08,1.63409755869031,0.101,0.058,0.000918729435755517,"0","USP51"
2.71901486356242e-16,1.56333198726472,0.254,0.17,6.06911307695768e-12,"0","CCDC170"
3.05724008738524e-09,1.53644230144262,0.134,0.082,6.82406559905259e-05,"0","SLC18B1"
4.46400224340024e-20,1.53382795952994,0.228,0.132,9.96409940749368e-16,"0","SCN1B"
6.6565574281023e-20,1.49023941170801,0.177,0.089,1.48581018352672e-15,"0","NCKAP5"
3.21388193793393e-11,1.45028379902451,0.138,0.078,7.17370587366233e-07,"0","IGSF21"
2.76056398790328e-16,3.47653500049473,0.137,0.048,6.16185487739891e-12,"7","IGF2"
8.16278919139933e-10,2.76178175571185,0.169,0.091,1.82201617541224e-05,"7","ENO2"
3.60156139084501e-07,1.88426009975139,0.377,0.337,0.00803904518050516,"7","NUPR1"
2.77125802045811e-07,1.83117986492692,0.433,0.445,0.00618572502746455,"7","WFDC2"
2.57277306195939e-08,1.30664440103576,0.039,0.138,0.000574268675159956,"7","ABCF2"
1.20000368526942e-06,1.24020931742701,0.093,0.207,0.0267852822588987,"7","ERC1"
1.94518491208145e-08,1.21404385032313,0.03,0.124,0.000434184724225701,"7","BLOC1S5"
1.74152741842473e-08,1.20050857702126,0.051,0.159,0.000388726335066583,"7","CHD1L"
1.29450898649304e-06,1.19992401272597,0.056,0.147,0.0288947350875111,"7","KEAP1"
3.89397928059924e-08,1.17436529914542,0.03,0.12,0.000869175115222557,"7","GON7"
1.2114852190597e-08,1.16771539908803,0.069,0.192,0.000270415615746316,"7","MYL6B"
8.46956325013479e-07,1.16305676067496,0.044,0.13,0.0189049121306259,"7","D2HGDH"
1.27009636588177e-07,1.15026595305967,0.102,0.23,0.00283498209828469,"7","NT5C3A"
1.76089777716025e-07,1.14791352545415,0.095,0.222,0.00393049992839939,"7","MAGED2"
1.26867786458101e-10,1.14729354901429,0.056,0.188,2.83181586153127e-06,"7","TPGS2"
3.29757971487329e-07,1.14464945225261,0.037,0.123,0.00736052768156867,"7","ZNF688"
2.52153013895462e-08,1.13666680082753,0.044,0.146,0.00056283074231606,"7","CMAS"
2.1263678858921e-08,1.12062678991252,0.153,0.331,0.000474626575809976,"7","MRPS6"
4.16219121156991e-11,1.11291537535356,0.035,0.158,9.29042700334519e-07,"7","DCUN1D5"
2.53168958901191e-07,1.11135762615933,0.037,0.125,0.00565098433163348,"7","ZFAND1"
7.49490306840855e-27,2.9431392912613,0.112,0.02,1.67293731389947e-22,"8","FCER1A"
9.94620909110352e-120,2.82638204399607,0.546,0.116,2.22009333122522e-115,"8","CLEC10A"
2.03964965415327e-58,2.69054018828228,0.459,0.151,4.55270199303551e-54,"8","IL10"
5.33095151524468e-35,2.45202824313827,0.291,0.094,1.18992168771776e-30,"8","CST6"
1.33729755828902e-171,2.3362331797811,0.776,0.173,2.98498187985693e-167,"8","EREG"
7.25798192498536e-98,2.33518340919847,0.401,0.07,1.62005414547598e-93,"8","PID1"
7.55983407973041e-45,2.32247523010263,0.221,0.045,1.68743056493663e-40,"8","SEMA6B"
6.66957841776094e-80,2.06399979183001,0.454,0.108,1.48871659862842e-75,"8","MARCO"
1.41243912849929e-27,2.06304094858776,0.286,0.104,3.15270537872327e-23,"8","NAF1"
4.17526057440766e-41,2.03346659940845,0.193,0.037,9.31959912813534e-37,"8","MCEMP1"
3.5046079990344e-32,2.0204957942262,0.258,0.076,7.82263551464468e-28,"8","IL1A"
9.59942673808125e-41,2.01270036229743,0.275,0.072,2.14268804220712e-36,"8","THBS1"
7.43793970090674e-83,1.98438929581916,0.846,0.405,1.66022252063939e-78,"8","CXCL2"
1.96982414933588e-53,1.97407467606333,0.627,0.292,4.39684448373262e-49,"8","INSIG1"
1.75841072474533e-62,1.96805428226064,0.658,0.277,3.92494857870406e-58,"8","FBP1"
1.73087224501367e-21,1.96495996888171,0.157,0.043,3.86347993809502e-17,"8","FLT1"
1.3867172343456e-57,1.95325285852383,0.322,0.073,3.0952915387828e-53,"8","AREG"
