"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"C6-SLC2A1-like","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00307790982332814,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C7-APOBEC3A-like","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.0140638808538105,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8 T","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00517593696881982,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Cell cycle cell","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00422084258301519,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Endothelia","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.0154164026875642,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mac-Cycling","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.0101849633593353,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mac-FOLR2-LYVE1-resident","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00362545766624013,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mac-OLFML3-CX3CR1-resident","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00904892015261716,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mono-FCN1-S100A8-S100A9","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00336931208623154,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Myeloid","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00362900237989041,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
