"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","stage"
"Cell cycle cell","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00370576695926894,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Endothelia","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00741113395046726,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00744111114937858,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Other T","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00133834873609993,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"SMC_myoFibroblast","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.0033194751956218,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"C6-SLC2A1-like","Cell cycle cell","TGFB1","TGFbR1_R2",0.00560661783107436,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"C7-APOBEC3A-like","Cell cycle cell","TGFB1","TGFbR1_R2",0.00505594485670577,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-Cycling","Cell cycle cell","TGFB1","TGFbR1_R2",0.00271180780019308,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-FOLR2-LYVE1-resident","Cell cycle cell","TGFB1","TGFbR1_R2",0.00187803842947141,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-OLFML3-CX3CR1-resident","Cell cycle cell","TGFB1","TGFbR1_R2",0.0048355426850083,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-TNF-CCL4-inflammatory","Cell cycle cell","TGFB1","TGFbR1_R2",0.00180506006779431,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mono-FCN1-S100A8-S100A9","Cell cycle cell","TGFB1","TGFbR1_R2",0.00505791844868444,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid-CLEC10A-APC","Cell cycle cell","TGFB1","TGFbR1_R2",0.00693846737451005,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"C6-SLC2A1-like","Endothelia","TGFB1","TGFbR1_R2",0.0082759866635543,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"C7-APOBEC3A-like","Endothelia","TGFB1","TGFbR1_R2",0.00746303472790852,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-Cycling","Endothelia","TGFB1","TGFbR1_R2",0.00400498352811104,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-FOLR2-LYVE1-resident","Endothelia","TGFB1","TGFbR1_R2",0.00277420284464819,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-OLFML3-CX3CR1-resident","Endothelia","TGFB1","TGFbR1_R2",0.00713761356291193,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-TNF-CCL4-inflammatory","Endothelia","TGFB1","TGFbR1_R2",0.00266657823971696,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mono-FCN1-S100A8-S100A9","Endothelia","TGFB1","TGFbR1_R2",0.00746668967419302,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid-CLEC10A-APC","Endothelia","TGFB1","TGFbR1_R2",0.0102386330003666,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"C6-SLC2A1-like","Fibroblast","TGFB1","TGFbR1_R2",0.00159631323128477,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"C7-APOBEC3A-like","Fibroblast","TGFB1","TGFbR1_R2",0.00143955739587915,0.02,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-OLFML3-CX3CR1-resident","Fibroblast","TGFB1","TGFbR1_R2",0.00137683138634617,0.02,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mono-FCN1-S100A8-S100A9","Fibroblast","TGFB1","TGFbR1_R2",0.00143988076364288,0.02,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid-CLEC10A-APC","Fibroblast","TGFB1","TGFbR1_R2",0.00197658261462722,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Cell cycle cell","Mac-Cycling","TGFB1","TGFbR1_R2",0.00629106750521126,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Endothelia","Mac-Cycling","TGFB1","TGFbR1_R2",0.0125521025595958,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid","Mac-Cycling","TGFB1","TGFbR1_R2",0.0125966315396391,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Other T","Mac-Cycling","TGFB1","TGFbR1_R2",0.00227741281792704,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"SMC_myoFibroblast","Mac-Cycling","TGFB1","TGFbR1_R2",0.00563549169436223,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Cell cycle cell","Mac-FOLR2-LYVE1-resident","TGFB1","TGFbR1_R2",0.00160670781061415,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Endothelia","Mac-FOLR2-LYVE1-resident","TGFB1","TGFbR1_R2",0.00321686737354073,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid","Mac-FOLR2-LYVE1-resident","TGFB1","TGFbR1_R2",0.00323065347816598,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"SMC_myoFibroblast","Mac-FOLR2-LYVE1-resident","TGFB1","TGFbR1_R2",0.00143919767099919,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Cell cycle cell","Mac-OLFML3-CX3CR1-resident","TGFB1","TGFbR1_R2",0.00392370674901203,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Endothelia","Mac-OLFML3-CX3CR1-resident","TGFB1","TGFbR1_R2",0.0078423851678357,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid","Mac-OLFML3-CX3CR1-resident","TGFB1","TGFbR1_R2",0.00787312529941548,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Other T","Mac-OLFML3-CX3CR1-resident","TGFB1","TGFbR1_R2",0.00141789860052177,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"SMC_myoFibroblast","Mac-OLFML3-CX3CR1-resident","TGFB1","TGFbR1_R2",0.00351472959597736,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Cell cycle cell","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.0022146314641813,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Endothelia","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.00443299753479429,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.00445177693452711,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"SMC_myoFibroblast","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.00198374844876063,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"SMC_myoFibroblast","C6-SLC2A1-like","TGFB3","TGFbR1_R2",0.000940127700567833,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"SMC_myoFibroblast","Mac-Cycling","TGFB3","TGFbR1_R2",0.00160007107838294,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
