"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"B cell_plasma","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00024768188878814,0.03,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C6-SLC2A1-like","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00517777805260264,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C7-APOBEC3A-like","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00783045012466177,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8 T","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00227501930476582,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Cell cycle cell","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.0033597519441975,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Endothelia","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00640677296814272,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mac-Cycling","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00736310817762304,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mac-OLFML3-CX3CR1-resident","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00540490503555206,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mono-FCN1-S100A8-S100A9","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00330477471112396,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Myeloid","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.004613285875055,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Myeloid-CLEC10A-APC","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00835482891252427,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Other T","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00146496871065788,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SMC_myoFibroblast","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00348683833316817,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C6-SLC2A1-like","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.0100085225253551,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C7-APOBEC3A-like","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.0150985134084215,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8 T","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.00440956266940448,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Cell cycle cell","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.00650541280423778,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Endothelia","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.0123731147659453,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Fibroblast","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.00049016024626591,0.04,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mac-Cycling","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.0142036040720602,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mac-OLFML3-CX3CR1-resident","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.010445328683827,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Mono-FCN1-S100A8-S100A9","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.00639929212053786,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Myeloid","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.00892209584422628,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Myeloid-CLEC10A-APC","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.0161017109993081,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Other T","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.00284164445645945,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"SMC_myoFibroblast","C7-APOBEC3A-like","TGFB1","TGFbR1_R2",0.00674917701273186,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
