"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","stage"
"CD8 T","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00486746964763273,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"CD8 T","Mac-Cycling","TGFB1","TGFbR1_R2",0.00825800219196026,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"CD8 T","Mac-FOLR2-LYVE1-resident","TGFB1","TGFbR1_R2",0.00211102994388551,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"CD8 T","Mac-OLFML3-CX3CR1-resident","TGFB1","TGFbR1_R2",0.00515291228096668,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"CD8 T","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.00290959054393449,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"CD8 T","C6-SLC2A1-like","CCL5","CCR1",0.155512172831403,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","C7-APOBEC3A-like","CCL5","CCR1",0.135826793098845,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-Cycling","CCL5","CCR1",0.0680487480118799,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-FOLR2-LYVE1-resident","CCL5","CCR1",0.130113854628955,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-OLFML3-CX3CR1-resident","CCL5","CCR1",0.0994898560361506,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-TNF-CCL4-inflammatory","CCL5","CCR1",0.023264946243627,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mono-FCN1-S100A8-S100A9","CCL5","CCR1",0.0500911079503582,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Myeloid-CLEC10A-APC","CCL5","CCR1",0.0564711487968429,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","C6-SLC2A1-like","CCL3","CCR1",0.0301093345431853,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","C7-APOBEC3A-like","CCL3","CCR1",0.0258127614588689,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-Cycling","CCL3","CCR1",0.0121596503413112,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-FOLR2-LYVE1-resident","CCL3","CCR1",0.0245953679905025,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-OLFML3-CX3CR1-resident","CCL3","CCR1",0.0182845055476466,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-TNF-CCL4-inflammatory","CCL3","CCR1",0.00399937632567743,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mono-FCN1-S100A8-S100A9","CCL3","CCR1",0.00881134868540531,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Myeloid-CLEC10A-APC","CCL3","CCR1",0.00998892775042597,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","C6-SLC2A1-like","CCL3L3","CCR1",0.0134909762236746,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","C7-APOBEC3A-like","CCL3L3","CCR1",0.0115376169283159,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-Cycling","CCL3L3","CCR1",0.00539323903766169,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-FOLR2-LYVE1-resident","CCL3L3","CCR1",0.0109858822366996,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-OLFML3-CX3CR1-resident","CCL3L3","CCR1",0.00813790853275416,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-TNF-CCL4-inflammatory","CCL3L3","CCR1",0.00176574939124796,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mono-FCN1-S100A8-S100A9","CCL3L3","CCR1",0.00390079025883347,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Myeloid-CLEC10A-APC","CCL3L3","CCR1",0.00442503514569373,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","C6-SLC2A1-like","CCL4","CCR5",0.0244829623424847,0,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","C7-APOBEC3A-like","CCL4","CCR5",0.0361047583094012,0,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Mac-OLFML3-CX3CR1-resident","CCL4","CCR5",0.00951590018378573,0,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","Myeloid-CLEC10A-APC","CCL4","CCR5",0.0140666473711555,0,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","C6-SLC2A1-like","CCL5","CCR5",0.0237625862816701,0,"CCL5_CCR5","CCL5 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"CD8 T","C7-APOBEC3A-like","CCL5","CCR5",0.0350547155367552,0,"CCL5_CCR5","CCL5 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
