"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","stage"
"C6-SLC2A1-like","Epithelia","AREG","EGFR",0.000548763262565909,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012","Non-malignant"
"C7-APOBEC3A-like","Epithelia","AREG","EGFR",0.000676481606809947,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012","Non-malignant"
"Mono-FCN1-S100A8-S100A9","Epithelia","AREG","EGFR",0.00152400004531619,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012","Non-malignant"
"Myeloid-CLEC10A-APC","Epithelia","AREG","EGFR",0.00239114980631084,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012","Non-malignant"
"C6-SLC2A1-like","Epithelia","HBEGF","EGFR",0.00396704214545813,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012","Non-malignant"
"C7-APOBEC3A-like","Epithelia","HBEGF","EGFR",0.00347435608358484,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012","Non-malignant"
"Mac-Cycling","Epithelia","HBEGF","EGFR",0.00111668121260232,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012","Non-malignant"
"Mac-FOLR2-LYVE1-resident","Epithelia","HBEGF","EGFR",0.000800099381605516,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012","Non-malignant"
"Mac-OLFML3-CX3CR1-resident","Epithelia","HBEGF","EGFR",0.00308231923153667,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012","Non-malignant"
"Mac-TNF-CCL4-inflammatory","Epithelia","HBEGF","EGFR",0.00177155453095505,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012","Non-malignant"
