"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","stage"
"Myeloid-CLEC10A-APC","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.0152600833095533,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid-CLEC10A-APC","Mac-Cycling","TGFB1","TGFbR1_R2",0.025706153722744,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid-CLEC10A-APC","Mac-FOLR2-LYVE1-resident","TGFB1","TGFbR1_R2",0.00664120898082059,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid-CLEC10A-APC","Mac-OLFML3-CX3CR1-resident","TGFB1","TGFbR1_R2",0.0161260393852465,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"C6-SLC2A1-like","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.00739146153333675,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"C7-APOBEC3A-like","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.00666547445529473,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-Cycling","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.0035753028748359,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-FOLR2-LYVE1-resident","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.00247610198665537,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-OLFML3-CX3CR1-resident","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.00637489996839231,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-TNF-CCL4-inflammatory","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.00237990103796538,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mono-FCN1-S100A8-S100A9","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.00666814931665115,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid-CLEC10A-APC","Myeloid-CLEC10A-APC","TGFB1","TGFbR1_R2",0.00914697401758818,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid-CLEC10A-APC","C6-SLC2A1-like","CCL3","CCR1",0.153829264551612,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","C7-APOBEC3A-like","CCL3","CCR1",0.134323030194314,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","Mac-Cycling","CCL3","CCR1",0.0672369845238938,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","Mac-FOLR2-LYVE1-resident","CCL3","CCR1",0.128663923763203,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","Mac-OLFML3-CX3CR1-resident","CCL3","CCR1",0.0983426051344754,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","Mac-TNF-CCL4-inflammatory","CCL3","CCR1",0.0229742455140755,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","Mono-FCN1-S100A8-S100A9","CCL3","CCR1",0.049482189752952,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"C6-SLC2A1-like","Myeloid-CLEC10A-APC","CCL3","CCR1",0.0557648012399437,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"C7-APOBEC3A-like","Myeloid-CLEC10A-APC","CCL3","CCR1",0.0283325692452106,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Mac-Cycling","Myeloid-CLEC10A-APC","CCL3","CCR1",0.0168092704947948,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Mac-FOLR2-LYVE1-resident","Myeloid-CLEC10A-APC","CCL3","CCR1",0.0203863689210183,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Mac-NUPR1-IGF2-stress","Myeloid-CLEC10A-APC","CCL3","CCR1",0.0116287738034009,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Mac-OLFML3-CX3CR1-resident","Myeloid-CLEC10A-APC","CCL3","CCR1",0.0546420269245924,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Mac-TNF-CCL4-inflammatory","Myeloid-CLEC10A-APC","CCL3","CCR1",0.0613943022471669,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Mono-FCN1-S100A8-S100A9","Myeloid-CLEC10A-APC","CCL3","CCR1",0.0251006430122582,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","Myeloid-CLEC10A-APC","CCL3","CCR1",0.0557892284802737,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","C6-SLC2A1-like","CCL3L3","CCR1",0.140483526882343,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","C7-APOBEC3A-like","CCL3L3","CCR1",0.122424748040672,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","Mac-Cycling","CCL3L3","CCR1",0.0608633606972816,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","Mac-FOLR2-LYVE1-resident","CCL3L3","CCR1",0.117199057439971,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","Mac-OLFML3-CX3CR1-resident","CCL3L3","CCR1",0.0893026726620441,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","Mac-TNF-CCL4-inflammatory","CCL3L3","CCR1",0.0207033091722746,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","Mono-FCN1-S100A8-S100A9","CCL3L3","CCR1",0.0447109291828909,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"C6-SLC2A1-like","Myeloid-CLEC10A-APC","CCL3L3","CCR1",0.040788044935072,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"C7-APOBEC3A-like","Myeloid-CLEC10A-APC","CCL3L3","CCR1",0.017926261737166,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Mac-Cycling","Myeloid-CLEC10A-APC","CCL3L3","CCR1",0.00975214050759708,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Mac-FOLR2-LYVE1-resident","Myeloid-CLEC10A-APC","CCL3L3","CCR1",0.00823787462413615,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Mac-NUPR1-IGF2-stress","Myeloid-CLEC10A-APC","CCL3L3","CCR1",0.00659320215725906,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Mac-OLFML3-CX3CR1-resident","Myeloid-CLEC10A-APC","CCL3L3","CCR1",0.0475090411018233,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Mac-TNF-CCL4-inflammatory","Myeloid-CLEC10A-APC","CCL3L3","CCR1",0.0572573214518621,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Mono-FCN1-S100A8-S100A9","Myeloid-CLEC10A-APC","CCL3L3","CCR1",0.0203222788700764,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","Myeloid-CLEC10A-APC","CCL3L3","CCR1",0.0504420925339363,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
"Myeloid-CLEC10A-APC","C7-APOBEC3A-like","CCL2","CCR2",0.0036324675743995,0,"CCL2_CCR2","CCL2 - CCR2","CCL","Secreted Signaling","KEGG: hsa04060","Non-malignant"
