"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","stage"
"C6-SLC2A1-like","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.0123426624863085,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"C7-APOBEC3A-like","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.0111299550435243,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"CD8 T","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00486746964763273,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Cell cycle cell","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00370576695926894,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Endothelia","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00741113395046726,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-Cycling","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00597896157835095,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-FOLR2-LYVE1-resident","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00414326883060213,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-OLFML3-CX3CR1-resident","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.010644385111074,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-TNF-CCL4-inflammatory","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00398305111726539,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mono-FCN1-S100A8-S100A9","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.0111375673108159,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00744111114937858,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Myeloid-CLEC10A-APC","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.0152600833095533,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Other T","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.00133834873609993,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"SMC_myoFibroblast","C6-SLC2A1-like","TGFB1","TGFbR1_R2",0.0033194751956218,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"C6-SLC2A1-like","Cell cycle cell","TGFB1","TGFbR1_R2",0.00560661783107436,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"C7-APOBEC3A-like","Cell cycle cell","TGFB1","TGFbR1_R2",0.00505594485670577,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-Cycling","Cell cycle cell","TGFB1","TGFbR1_R2",0.00271180780019308,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-FOLR2-LYVE1-resident","Cell cycle cell","TGFB1","TGFbR1_R2",0.00187803842947141,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
"Mac-OLFML3-CX3CR1-resident","Cell cycle cell","TGFB1","TGFbR1_R2",0.0048355426850083,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","Non-malignant"
