"stage","pathway_name","source","target","n_LR_pairs","summed_probability"
"Early","12oxoLTB4","C6-SLC2A1-like","C7-APOBEC3A-like",1,0.000238849378674348
"Early","12oxoLTB4","C6-SLC2A1-like","Mac-OLFML3-CX3CR1-resident",1,0.00010467664672449
"Early","12oxoLTB4","C7-APOBEC3A-like","C7-APOBEC3A-like",1,0.000277165821144791
"Early","12oxoLTB4","C7-APOBEC3A-like","Mac-OLFML3-CX3CR1-resident",1,0.000121471588255238
"Non-malignant","12oxoLTB4","Cell cycle cell","Myeloid-CLEC10A-APC",1,0.000703079752081613
"Early","12oxoLTB4","Endothelia","C7-APOBEC3A-like",1,0.000340063775058208
"Early","12oxoLTB4","Endothelia","Mac-OLFML3-CX3CR1-resident",1,0.000149042716202118
"Non-malignant","12oxoLTB4","Endothelia","Myeloid-CLEC10A-APC",1,0.000124543368979397
"Advanced","12oxoLTB4","Epithelia","C7-APOBEC3A-like",1,0.000953931600352878
"Early","12oxoLTB4","Epithelia","C7-APOBEC3A-like",1,0.000794205869482456
"Early","12oxoLTB4","Epithelia","Mac-OLFML3-CX3CR1-resident",1,0.000348172381680607
"Non-malignant","12oxoLTB4","Epithelia","Myeloid-CLEC10A-APC",1,0.000327188547730204
"Advanced","12oxoLTB4","Fibroblast","C7-APOBEC3A-like",1,0.0018515401411054
"Early","12oxoLTB4","Fibroblast","C7-APOBEC3A-like",1,0.00035185796846228
"Early","12oxoLTB4","Fibroblast","Mac-OLFML3-CX3CR1-resident",1,0.000154212882211447
"Non-malignant","12oxoLTB4","Fibroblast","Myeloid-CLEC10A-APC",1,0.00040547875289819
"Advanced","12oxoLTB4","Mac-Cycling","C7-APOBEC3A-like",1,0.000482384944482125
"Advanced","12oxoLTB4","SMC_myoFibroblast","C7-APOBEC3A-like",1,0.000895341347443673
"Early","12oxoLTB4","SMC_myoFibroblast","C7-APOBEC3A-like",1,0.00124780822563152
"Early","12oxoLTB4","SMC_myoFibroblast","Mac-OLFML3-CX3CR1-resident",1,0.000547166887453828
"Non-malignant","12oxoLTB4","SMC_myoFibroblast","Myeloid-CLEC10A-APC",1,0.00039753870178544
"Non-malignant","5alphaP","C6-SLC2A1-like","Cell cycle cell",1,0.000388405410879993
"Non-malignant","5alphaP","C6-SLC2A1-like","Epithelia",1,0.000817597295312796
"Non-malignant","5alphaP","C6-SLC2A1-like","Fibroblast",1,0.00115968468705013
"Non-malignant","5alphaP","C6-SLC2A1-like","SMC_myoFibroblast",1,0.000963911579629002
"Non-malignant","ADGRA","C6-SLC2A1-like","Cell cycle cell",1,0.00213606207194046
"Non-malignant","ADGRA","C6-SLC2A1-like","Endothelia",1,0.00151667470788456
"Non-malignant","ADGRA","C6-SLC2A1-like","Fibroblast",1,0.00219078686245204
"Non-malignant","ADGRA","C6-SLC2A1-like","SMC_myoFibroblast",1,0.00563664446008523
"Non-malignant","ADGRA","Mac-Cycling","Cell cycle cell",1,0.000196032601547645
"Non-malignant","ADGRA","Mac-Cycling","Endothelia",1,0.000139111205896374
"Non-malignant","ADGRA","Mac-Cycling","Fibroblast",1,0.000201064868861201
"Non-malignant","ADGRA","Mac-Cycling","SMC_myoFibroblast",1,0.000518944608399372
"Non-malignant","ADGRA","Myeloid-CLEC10A-APC","Cell cycle cell",1,0.000382568701605064
"Non-malignant","ADGRA","Myeloid-CLEC10A-APC","Endothelia",1,0.000271498089102395
"Non-malignant","ADGRA","Myeloid-CLEC10A-APC","Fibroblast",1,0.000392387576378095
"Non-malignant","ADGRA","Myeloid-CLEC10A-APC","SMC_myoFibroblast",1,0.00101243858182244
"Non-malignant","ADGRE","B cell_plasma","C6-SLC2A1-like",1,0.00397914938609123
"Early","ADGRE","B cell_plasma","C7-APOBEC3A-like",1,0.00199309476407726
"Non-malignant","ADGRE","B cell_plasma","C7-APOBEC3A-like",1,0.0195419016396524
"Non-malignant","ADGRE","B cell_plasma","Mac-FOLR2-LYVE1-resident",1,0.00453098300916278
"Non-malignant","ADGRE","B cell_plasma","Mono-FCN1-S100A8-S100A9",1,0.0183547446160451
"Non-malignant","ADGRE","B cell_plasma","Myeloid-CLEC10A-APC",1,0.0132093267170289
"Advanced","ADGRE","C6-SLC2A1-like","C6-SLC2A1-like",1,0.00293716510851488
"Early","ADGRE","C6-SLC2A1-like","C6-SLC2A1-like",1,0.00178308910504051
"Non-malignant","ADGRE","C6-SLC2A1-like","C6-SLC2A1-like",1,0.00265982600253754
"Advanced","ADGRE","C6-SLC2A1-like","C7-APOBEC3A-like",2,0.00902048679033014
"Early","ADGRE","C6-SLC2A1-like","C7-APOBEC3A-like",2,0.0101838705321152
"Non-malignant","ADGRE","C6-SLC2A1-like","C7-APOBEC3A-like",2,0.0176220669113312
"Advanced","ADGRE","C6-SLC2A1-like","CD8 T",1,0.00743344806912669
"Early","ADGRE","C6-SLC2A1-like","CD8 T",1,0.00354631077398078
"Non-malignant","ADGRE","C6-SLC2A1-like","CD8 T",2,0.0214680305869702
"Advanced","ADGRE","C6-SLC2A1-like","Cell cycle cell",1,0.0128075571832526
"Early","ADGRE","C6-SLC2A1-like","Cell cycle cell",1,0.00749308708721814
"Advanced","ADGRE","C6-SLC2A1-like","Mac-Cycling",1,0.00208156148769945
"Early","ADGRE","C6-SLC2A1-like","Mac-Cycling",1,0.00108380699857795
"Advanced","ADGRE","C6-SLC2A1-like","Mac-OLFML3-CX3CR1-resident",1,0.00352820598588852
"Early","ADGRE","C6-SLC2A1-like","Mac-OLFML3-CX3CR1-resident",1,0.0016146081610831
"Non-malignant","ADGRE","C6-SLC2A1-like","Mac-OLFML3-CX3CR1-resident",1,0.00128833836678912
"Advanced","ADGRE","C6-SLC2A1-like","Mac-TNF-CCL4-inflammatory",1,0.00550192529970972
"Advanced","ADGRE","C6-SLC2A1-like","Mono-FCN1-S100A8-S100A9",2,0.0105363717356371
"Early","ADGRE","C6-SLC2A1-like","Mono-FCN1-S100A8-S100A9",2,0.00541565206195466
"Non-malignant","ADGRE","C6-SLC2A1-like","Mono-FCN1-S100A8-S100A9",2,0.0168775037944657
"Non-malignant","ADGRE","C6-SLC2A1-like","Myeloid",1,0.00373733714335651
"Advanced","ADGRE","C6-SLC2A1-like","Myeloid-CLEC10A-APC",2,0.0125273761658517
"Early","ADGRE","C6-SLC2A1-like","Myeloid-CLEC10A-APC",1,0.00201655907259041
"Non-malignant","ADGRE","C6-SLC2A1-like","Myeloid-CLEC10A-APC",2,0.011775876772302
"Advanced","ADGRE","C6-SLC2A1-like","Other T",1,0.00480193903063216
"Early","ADGRE","C6-SLC2A1-like","Other T",1,0.00216756784047704
"Advanced","ADGRE","C7-APOBEC3A-like","C6-SLC2A1-like",2,0.00905185238655141
"Early","ADGRE","C7-APOBEC3A-like","C6-SLC2A1-like",1,0.00301921904766453
"Non-malignant","ADGRE","C7-APOBEC3A-like","C6-SLC2A1-like",1,0.00692221986752781
"Advanced","ADGRE","C7-APOBEC3A-like","C7-APOBEC3A-like",2,0.0129918114859694
"Early","ADGRE","C7-APOBEC3A-like","C7-APOBEC3A-like",3,0.0202938177741701
"Non-malignant","ADGRE","C7-APOBEC3A-like","C7-APOBEC3A-like",1,0.0336071589418349
"Advanced","ADGRE","C7-APOBEC3A-like","CD8 T",1,0.0107050911490866
"Early","ADGRE","C7-APOBEC3A-like","CD8 T",2,0.00796916144577143
"Non-malignant","ADGRE","C7-APOBEC3A-like","CD8 T",1,0.0384642631134963
"Advanced","ADGRE","C7-APOBEC3A-like","Cell cycle cell",1,0.0184006291478486
"Early","ADGRE","C7-APOBEC3A-like","Cell cycle cell",2,0.016810979229064
"Advanced","ADGRE","C7-APOBEC3A-like","Mac-Cycling",1,0.00300483872193047
"Early","ADGRE","C7-APOBEC3A-like","Mac-Cycling",1,0.00183604994720182
"Non-malignant","ADGRE","C7-APOBEC3A-like","Mac-FOLR2-LYVE1-resident",1,0.00787897369950182
"Advanced","ADGRE","C7-APOBEC3A-like","Mac-OLFML3-CX3CR1-resident",1,0.00508987005303455
"Early","ADGRE","C7-APOBEC3A-like","Mac-OLFML3-CX3CR1-resident",1,0.00273425829722381
"Non-malignant","ADGRE","C7-APOBEC3A-like","Mac-OLFML3-CX3CR1-resident",1,0.00531240895665895
"Advanced","ADGRE","C7-APOBEC3A-like","Mac-TNF-CCL4-inflammatory",1,0.00793024984377137
"Advanced","ADGRE","C7-APOBEC3A-like","Mono-FCN1-S100A8-S100A9",2,0.0151868448603533
"Early","ADGRE","C7-APOBEC3A-like","Mono-FCN1-S100A8-S100A9",2,0.0091628609943929
"Non-malignant","ADGRE","C7-APOBEC3A-like","Mono-FCN1-S100A8-S100A9",1,0.0315930801543504
"Non-malignant","ADGRE","C7-APOBEC3A-like","Myeloid",1,0.00955201210289086
"Advanced","ADGRE","C7-APOBEC3A-like","Myeloid-CLEC10A-APC",2,0.0180485854569069
"Early","ADGRE","C7-APOBEC3A-like","Myeloid-CLEC10A-APC",1,0.00341398896498373
"Non-malignant","ADGRE","C7-APOBEC3A-like","Myeloid-CLEC10A-APC",1,0.0228228183658584
"Advanced","ADGRE","C7-APOBEC3A-like","Other T",1,0.00692346910399865
"Early","ADGRE","C7-APOBEC3A-like","Other T",1,0.00366925865053314
"Non-malignant","ADGRE","Cell cycle cell","C6-SLC2A1-like",5,0.0191029508591817
"Non-malignant","ADGRE","Cell cycle cell","C7-APOBEC3A-like",5,0.0689297049156657
"Non-malignant","ADGRE","Cell cycle cell","Mac-Cycling",1,0.00160985078621116
"Non-malignant","ADGRE","Cell cycle cell","Mac-FOLR2-LYVE1-resident",3,0.0131692313590205
"Non-malignant","ADGRE","Cell cycle cell","Mac-OLFML3-CX3CR1-resident",4,0.00952984456797583
"Non-malignant","ADGRE","Cell cycle cell","Mono-FCN1-S100A8-S100A9",5,0.0656769250175533
"Non-malignant","ADGRE","Cell cycle cell","Myeloid-CLEC10A-APC",5,0.0462591733764336
"Advanced","ADGRE","Endothelia","C6-SLC2A1-like",5,0.0320896979860762
"Early","ADGRE","Endothelia","C6-SLC2A1-like",2,0.00847116526108485
"Non-malignant","ADGRE","Endothelia","C6-SLC2A1-like",3,0.0125329513565629
"Advanced","ADGRE","Endothelia","C7-APOBEC3A-like",5,0.0488903889849245
"Early","ADGRE","Endothelia","C7-APOBEC3A-like",3,0.0330973925207709
"Non-malignant","ADGRE","Endothelia","C7-APOBEC3A-like",5,0.0725214421196016
"Advanced","ADGRE","Endothelia","Mac-Cycling",3,0.0174911105545995
"Early","ADGRE","Endothelia","Mac-Cycling",2,0.00576587636183518
"Non-malignant","ADGRE","Endothelia","Mac-Cycling",1,0.00188782092084718
"Non-malignant","ADGRE","Endothelia","Mac-FOLR2-LYVE1-resident",2,0.010600620026832
"Advanced","ADGRE","Endothelia","Mac-OLFML3-CX3CR1-resident",2,0.0162963664134234
"Early","ADGRE","Endothelia","Mac-OLFML3-CX3CR1-resident",2,0.00738073574485882
"Non-malignant","ADGRE","Endothelia","Mac-OLFML3-CX3CR1-resident",3,0.00744481412726339
"Advanced","ADGRE","Endothelia","Mac-TNF-CCL4-inflammatory",2,0.0253423049758544
"Advanced","ADGRE","Endothelia","Mono-FCN1-S100A8-S100A9",5,0.0544063900138599
"Early","ADGRE","Endothelia","Mono-FCN1-S100A8-S100A9",3,0.0182715885568578
"Non-malignant","ADGRE","Endothelia","Mono-FCN1-S100A8-S100A9",5,0.0690743362551035
"Advanced","ADGRE","Endothelia","Myeloid-CLEC10A-APC",5,0.0623481574144579
"Early","ADGRE","Endothelia","Myeloid-CLEC10A-APC",2,0.00959625512751579
"Non-malignant","ADGRE","Endothelia","Myeloid-CLEC10A-APC",5,0.0487061911805769
"Advanced","ADGRE","Epithelia","C6-SLC2A1-like",5,0.00609413553238303
"Early","ADGRE","Epithelia","C6-SLC2A1-like",4,0.0090778057536729
"Non-malignant","ADGRE","Epithelia","C6-SLC2A1-like",3,0.00988168113715298
"Advanced","ADGRE","Epithelia","C7-APOBEC3A-like",6,0.0156607291359193
"Early","ADGRE","Epithelia","C7-APOBEC3A-like",4,0.0309098340066866
"Non-malignant","ADGRE","Epithelia","C7-APOBEC3A-like",3,0.0393590282844623
"Advanced","ADGRE","Epithelia","Mac-Cycling",5,0.00476465516488428
"Early","ADGRE","Epithelia","Mac-Cycling",4,0.00654667946496578
"Non-malignant","ADGRE","Epithelia","Mac-FOLR2-LYVE1-resident",2,0.00807788547180246
"Advanced","ADGRE","Epithelia","Mac-OLFML3-CX3CR1-resident",2,0.0034496034209471
"Early","ADGRE","Epithelia","Mac-OLFML3-CX3CR1-resident",4,0.00773079130280454
"Non-malignant","ADGRE","Epithelia","Mac-OLFML3-CX3CR1-resident",2,0.00461739563084379
"Advanced","ADGRE","Epithelia","Mac-TNF-CCL4-inflammatory",2,0.0053817403018716
"Advanced","ADGRE","Epithelia","Mono-FCN1-S100A8-S100A9",6,0.0156981701089597
"Early","ADGRE","Epithelia","Mono-FCN1-S100A8-S100A9",4,0.0179147896961696
"Non-malignant","ADGRE","Epithelia","Mono-FCN1-S100A8-S100A9",3,0.0373117783957638
"Advanced","ADGRE","Epithelia","Myeloid-CLEC10A-APC",6,0.0165933376377938
