"stage","pathway_name","source","target","n_LR_pairs","summed_probability"
"Advanced","CCL","B cell_plasma","C6-SLC2A1-like",1,0.00305323192477657
"Early","CCL","B cell_plasma","C6-SLC2A1-like",1,7.89567413569239e-05
"Advanced","CCL","B cell_plasma","Mac-Cycling",1,0.00161573194385044
"Advanced","CCL","B cell_plasma","Mac-FOLR2-LYVE1-resident",1,0.00117657079930782
"Early","CCL","B cell_plasma","Mac-FOLR2-LYVE1-resident",1,0.000185679254136442
"Advanced","CCL","B cell_plasma","Mac-OLFML3-CX3CR1-resident",1,0.00163913926414679
"Advanced","CCL","B cell_plasma","Mono-FCN1-S100A8-S100A9",1,0.00141693616582613
"Advanced","CCL","B cell_plasma","Myeloid-CLEC10A-APC",2,0.000469030038946401
"Early","CCL","B cell_plasma","Myeloid-CLEC10A-APC",1,6.38737320831637e-05
"Advanced","CCL","C6-SLC2A1-like","B cell_plasma",1,0.00103903993725755
"Early","CCL","C6-SLC2A1-like","B cell_plasma",3,0.0170589496733241
"Advanced","CCL","C6-SLC2A1-like","C6-SLC2A1-like",3,0.156075445890917
"Early","CCL","C6-SLC2A1-like","C6-SLC2A1-like",8,0.115087429679009
"Non-malignant","CCL","C6-SLC2A1-like","C6-SLC2A1-like",4,0.312000718652759
"Advanced","CCL","C6-SLC2A1-like","C7-APOBEC3A-like",3,0.170222231089638
"Early","CCL","C6-SLC2A1-like","C7-APOBEC3A-like",7,0.134659598121179
"Non-malignant","CCL","C6-SLC2A1-like","C7-APOBEC3A-like",5,0.32298375962848
"Early","CCL","C6-SLC2A1-like","Cell cycle cell",8,0.0555122740712007
"Advanced","CCL","C6-SLC2A1-like","Endothelia",2,0.0171499525027933
"Early","CCL","C6-SLC2A1-like","Endothelia",4,0.0655987619229406
"Non-malignant","CCL","C6-SLC2A1-like","Endothelia",1,0.036773063681014
"Advanced","CCL","C6-SLC2A1-like","Mac-Cycling",3,0.0850153489546911
"Early","CCL","C6-SLC2A1-like","Mac-Cycling",5,0.0721561210562857
"Non-malignant","CCL","C6-SLC2A1-like","Mac-Cycling",2,0.116526293140404
"Advanced","CCL","C6-SLC2A1-like","Mac-FOLR2-LYVE1-resident",3,0.0624714944646093
"Early","CCL","C6-SLC2A1-like","Mac-FOLR2-LYVE1-resident",5,0.0323813476257061
"Non-malignant","CCL","C6-SLC2A1-like","Mac-FOLR2-LYVE1-resident",2,0.22467293826661
"Advanced","CCL","C6-SLC2A1-like","Mac-OLFML3-CX3CR1-resident",3,0.0862055976944871
"Early","CCL","C6-SLC2A1-like","Mac-OLFML3-CX3CR1-resident",4,0.0274185762271596
"Non-malignant","CCL","C6-SLC2A1-like","Mac-OLFML3-CX3CR1-resident",4,0.187584287451864
"Non-malignant","CCL","C6-SLC2A1-like","Mac-TNF-CCL4-inflammatory",2,0.0396050185786404
"Advanced","CCL","C6-SLC2A1-like","Mono-FCN1-S100A8-S100A9",4,0.0803230713969197
"Early","CCL","C6-SLC2A1-like","Mono-FCN1-S100A8-S100A9",8,0.0678766796810194
"Non-malignant","CCL","C6-SLC2A1-like","Mono-FCN1-S100A8-S100A9",2,0.0855724262322604
"Non-malignant","CCL","C6-SLC2A1-like","Myeloid",2,0.0382309655818944
"Advanced","CCL","C6-SLC2A1-like","Myeloid-CLEC10A-APC",7,0.139144289684433
"Early","CCL","C6-SLC2A1-like","Myeloid-CLEC10A-APC",11,0.0737292308898935
"Non-malignant","CCL","C6-SLC2A1-like","Myeloid-CLEC10A-APC",4,0.120959775204993
"Advanced","CCL","C7-APOBEC3A-like","B cell_plasma",2,0.00227913595853042
"Early","CCL","C7-APOBEC3A-like","B cell_plasma",2,0.0389865176708327
"Advanced","CCL","C7-APOBEC3A-like","C6-SLC2A1-like",4,0.194458740037732
"Early","CCL","C7-APOBEC3A-like","C6-SLC2A1-like",8,0.177187303375066
"Non-malignant","CCL","C7-APOBEC3A-like","C6-SLC2A1-like",4,0.158094072931481
"Advanced","CCL","C7-APOBEC3A-like","C7-APOBEC3A-like",4,0.212019042991558
"Early","CCL","C7-APOBEC3A-like","C7-APOBEC3A-like",8,0.208110611637193
"Non-malignant","CCL","C7-APOBEC3A-like","C7-APOBEC3A-like",5,0.156242879969316
"Early","CCL","C7-APOBEC3A-like","Cell cycle cell",8,0.0775774450735942
"Advanced","CCL","C7-APOBEC3A-like","Endothelia",3,0.023526656510798
"Early","CCL","C7-APOBEC3A-like","Endothelia",4,0.15542105100639
"Non-malignant","CCL","C7-APOBEC3A-like","Endothelia",1,0.00852489792383924
"Advanced","CCL","C7-APOBEC3A-like","Mac-Cycling",4,0.106087609994203
"Early","CCL","C7-APOBEC3A-like","Mac-Cycling",5,0.115563851314064
"Non-malignant","CCL","C7-APOBEC3A-like","Mac-Cycling",2,0.0561352001115777
"Advanced","CCL","C7-APOBEC3A-like","Mac-FOLR2-LYVE1-resident",4,0.0779943225440995
"Early","CCL","C7-APOBEC3A-like","Mac-FOLR2-LYVE1-resident",5,0.0518313590302315
"Non-malignant","CCL","C7-APOBEC3A-like","Mac-FOLR2-LYVE1-resident",2,0.111549669976199
"Advanced","CCL","C7-APOBEC3A-like","Mac-OLFML3-CX3CR1-resident",4,0.107570082235548
"Early","CCL","C7-APOBEC3A-like","Mac-OLFML3-CX3CR1-resident",5,0.0492577700559917
"Non-malignant","CCL","C7-APOBEC3A-like","Mac-OLFML3-CX3CR1-resident",4,0.0923805888812588
