"statistic","TF","pseudobulk_id","activity","p_value","sample","stage","macrophage_state","n_cells"
"ulm","AHR","GSM5599220_Norm1___Mono-CDKN1C",2.98730506265127,0.00281754549148577,"GSM5599220_Norm1","Non-malignant","Mono-CDKN1C",25
"ulm","AHR","GSM5599221_Norm2___Mac-FOLR2-LYVE1-resident",4.43897633533632,9.08208263426921e-06,"GSM5599221_Norm2","Non-malignant","Mac-FOLR2-LYVE1-resident",35
"ulm","AHR","GSM5599221_Norm2___Mono-FCN1-S100A8-S100A9",4.40839877939828,1.04623594302832e-05,"GSM5599221_Norm2","Non-malignant","Mono-FCN1-S100A8-S100A9",127
"ulm","AHR","GSM5599221_Norm2___Myeloid-CLEC10A-APC",4.48822504434984,7.2178001830309e-06,"GSM5599221_Norm2","Non-malignant","Myeloid-CLEC10A-APC",24
"ulm","AHR","GSM5599222_Norm3___Mac-FOLR2-LYVE1-resident",5.02732120864043,5.0122697931478e-07,"GSM5599222_Norm3","Non-malignant","Mac-FOLR2-LYVE1-resident",55
"ulm","AHR","GSM5599222_Norm3___Mac-OLFML3-CX3CR1-resident",4.47028621358915,7.84994750716513e-06,"GSM5599222_Norm3","Non-malignant","Mac-OLFML3-CX3CR1-resident",37
"ulm","AHR","GSM5599222_Norm3___Mono-FCN1-S100A8-S100A9",4.73780264316006,2.17377467619801e-06,"GSM5599222_Norm3","Non-malignant","Mono-FCN1-S100A8-S100A9",71
"ulm","AHR","GSM5599222_Norm3___Myeloid-CLEC10A-APC",4.67513582531498,2.95476409716873e-06,"GSM5599222_Norm3","Non-malignant","Myeloid-CLEC10A-APC",57
"ulm","AHR","GSM5599223_Norm4___Mono-CDKN1C",3.3794992878565,0.000727422754350361,"GSM5599223_Norm4","Non-malignant","Mono-CDKN1C",23
"ulm","AHR","GSM5599223_Norm4___Mono-FCN1-S100A8-S100A9",3.82304197814465,0.000132173284999097,"GSM5599223_Norm4","Non-malignant","Mono-FCN1-S100A8-S100A9",51
"ulm","AHR","GSM5599224_Norm5___C6-SLC2A1-like",4.37705965020015,1.20837249874018e-05,"GSM5599224_Norm5","Non-malignant","C6-SLC2A1-like",65
"ulm","AHR","GSM5599224_Norm5___Mac-FOLR2-LYVE1-resident",4.604811623768,4.1511619803316e-06,"GSM5599224_Norm5","Non-malignant","Mac-FOLR2-LYVE1-resident",32
"ulm","AHR","GSM5599224_Norm5___Mono-CDKN1C",3.50306749287648,0.000460832665037107,"GSM5599224_Norm5","Non-malignant","Mono-CDKN1C",62
