"source","target","mor","confidence"
"AHR","CYP1A1",1,"C"
"AHR","CYP1A2",1,"C"
"AHR","CYP1B1",1,"C"
"AHR","FOS",1,"C"
"AHR","MYC",1,"C"
"AHR","UGT1A6",1,"C"
"AHR","ASAP1",1,"C"
"AHR","ERG",1,"C"
"AHR","VGLL4",1,"C"
"AHR","ARHGAP15",1,"C"
"AHR","ARID5B",1,"C"
"AHR","CREB5",1,"C"
"AHR","CTNNA1",1,"C"
"AHR","CTNNA2",1,"C"
"AHR","DOCK4",1,"C"
"AHR","EPB41L2",1,"C"
"AHR","FRMD4A",1,"C"
"AHR","GAS7",1,"C"
"AHR","KAZN",1,"C"
"AHR","KDM4C",1,"C"
"AHR","LHFPL2",1,"C"
"AHR","MAP4K4",1,"C"
"AHR","MAST4",1,"C"
"AHR","MID1",1,"C"
"AHR","MYO1B",1,"C"
"AHR","NCOR2",1,"C"
"AHR","NFATC2",1,"C"
"AHR","NRP2",1,"C"
"AHR","PHACTR3",1,"C"
"AHR","PLCB1",1,"C"
"AHR","RAPGEF4",1,"C"
"AHR","RBMS1",1,"C"
"AHR","RUNX1",1,"C"
"AHR","SIPA1L2",1,"C"
"AHR","SLCO3A1",1,"C"
"AHR","SOS1",1,"C"
"AHR","SULF2",1,"C"
"AHR","TRIM37",1,"C"
"AHR","TRIO",1,"C"
"AHR","TRPS1",1,"C"
"AHR","TSHZ2",1,"C"
"AHR","UTRN",1,"C"
"AHR","ZNF217",1,"C"
"AHR","ZNF385D",1,"C"
"AR","ABCE1",1,"A"
"AR","ACAD10",1,"A"
"AR","ACP3",1,"A"
"AR","AHSG",1,"A"
"AR","AKR1B1",1,"A"
"AR","AKR1C3",-1,"A"
"AR","AKT1",1,"A"
"AR","ALPG",1,"A"
"AR","ANAPC10",1,"A"
"AR","AP2M1",1,"A"
"AR","APPBP2",1,"A"
"AR","ATF6",1,"A"
"AR","ATM",1,"A"
"AR","ATP2B4",1,"A"
"AR","BABAM2",1,"A"
"AR","BANF1",1,"A"
"AR","BTD",1,"A"
"AR","C1orf21",1,"A"
"AR","CCNG2",1,"A"
"AR","CD4",1,"A"
"AR","CDC6",1,"A"
"AR","CDH2",1,"A"
"AR","CDKL5",1,"A"
"AR","CDKN1A",1,"A"
"AR","CITED2",1,"A"
"AR","COASY",1,"A"
"AR","CPT2",1,"A"
"AR","CRISP1",1,"A"
"AR","CYCS",1,"A"
"AR","DBI",1,"A"
"AR","DDC",1,"A"
"AR","DDT",1,"A"
"AR","DHX15",1,"A"
"AR","EEF1AKMT3",1,"A"
"AR","EGFR",1,"A"
"AR","EIF3I",1,"A"
"AR","ELF3",1,"A"
"AR","ERBB3",1,"A"
"AR","ESRRA",1,"A"
"AR","EYA2",1,"A"
"AR","FAM13A",1,"A"
"AR","FAM174B",1,"A"
"AR","FKBP5",1,"A"
"AR","FOXA1",1,"A"
"AR","FXYD3",1,"A"
"AR","GLRX",1,"A"
"AR","GNL1",1,"A"
"AR","GRB10",1,"A"
"AR","GTF2F1",1,"A"
"AR","H2BC21",1,"A"
"AR","HES1",1,"A"
"AR","HK2",1,"A"
"AR","HLA-E",1,"A"
"AR","HNRNPA1",1,"A"
"AR","HSD17B11",1,"A"
"AR","IFI35",1,"A"
"AR","IGF1R",1,"A"
"AR","IGFBP3",1,"A"
"AR","IGHG1",1,"A"
"AR","IL1R1",1,"A"
"AR","JUN",1,"A"
"AR","KCNH2",1,"A"
"AR","KIAA1217",-1,"A"
"AR","KLF5",1,"A"
"AR","KLK2",1,"A"
"AR","KLK3",1,"A"
"AR","KLK4",1,"A"
"AR","KRT18",1,"A"
"AR","KRT8",1,"A"
"AR","LIFR",1,"A"
"AR","LOC440157",1,"A"
"AR","MED1",1,"A"
"AR","MMP13",1,"A"
"AR","MRPS27",1,"A"
"AR","MT2A",1,"A"
"AR","MUC1",-1,"A"
"AR","MYC",1,"A"
"AR","NCOA2",-1,"A"
"AR","NDRG1",1,"A"
"AR","NKX3-1",1,"A"
"AR","NLGN4X",1,"A"
"AR","NME7",1,"A"
"AR","NPAT",1,"A"
"AR","NPEPPS",1,"A"
"AR","NUP214",1,"A"
"AR","ORM1",1,"A"
"AR","ORM2",1,"A"
"AR","PEX6",1,"A"
"AR","PGC",1,"A"
"AR","PIGR",1,"A"
"AR","PIN1",1,"A"
"AR","PMAIP1",1,"A"
"AR","PMEPA1",1,"A"
"AR","PNPLA4",1,"A"
"AR","PNRC1",1,"A"
"AR","PPP2R5D",1,"A"
"AR","PRAME",1,"A"
"AR","PRKCD",1,"A"
"AR","PRPS1",1,"A"
"AR","PTGS2",-1,"A"
"AR","PTPN9",1,"A"
"AR","PTPRM",1,"A"
"AR","QSOX1",1,"A"
"AR","RBMX",1,"A"
