"","g0","g1","g2","g3","g4","g5","g6","g7"
"C1QA",0.17,0.06,0.01,13.72,0.03,0.17,0.06,0.03
"VCAM1",0.26,0.42,1.23,0.11,0.48,0.36,0.01,0.39
"EPCAM",0.42,3.94,0.07,0.22,0.07,0.99,0.1,0.18
"CD8A",2.73,0.01,0,0.03,0.01,1.93,0.05,0
"JCHAIN",0.3,0.08,0.03,0.6,0.02,1.74,53.31,0.06
"CD14",0.08,0.08,0.06,11.12,0.04,0.1,0.03,0.06
"CD24",0.54,3.8,0.02,0.42,0.05,0.77,0.12,0.06
"OGN",0.06,1.07,5.85,0.02,0.04,0.19,0.01,0.19
"TAGLN",0.55,7.19,23.95,0.38,0.91,0.89,0.15,78.59
"CD3E",4.09,0.02,0,0.05,0.01,2.75,0.04,0.02
"CD3D",6.96,0.04,0,0.07,0.01,4.65,0.08,0.06
"ACTA2",0.35,2.47,12.35,0.16,0.54,0.96,0.05,54.45
"MKI67",0.22,0.33,0.01,0.62,0.1,9.36,0.03,0.01
"CD4",0.7,0.03,0.02,2.26,0.01,0.37,0.02,0.26
"KRT18",0.95,9.54,0.56,0.55,0.61,1.61,0.26,1.63
"DCN",0.42,9.31,30.84,0.19,0.37,0.84,0.07,2.73
"MYH11",0.07,0.31,1.03,0.02,0.15,0.05,0.02,9.93
"TOP2A",0.08,0.25,0.01,0.59,0.12,7.98,0.02,0.02
"KRT19",0.49,5.24,2.19,0.27,0.07,0.86,0.11,0.1
"PECAM1",0.32,0.11,0.01,0.85,5.6,0.6,0.57,0.03
"CD79A",0.08,0.01,0,0.83,0,0.2,4.07,0.01
"CLDN5",0.02,0.26,0.01,0.01,8.63,0.38,0,0.01
