"Sample","Post_Subset_Singlets","Remaining_Doublets","Median_Genes","Median_UMIs","Mean_Mito_Pct"
"GSM5599220_Norm1",5831,0,2243,7900,10.99
"GSM5599221_Norm2",4671,0,2978,12181,9.05
"GSM5599222_Norm3",4107,0,1675,5017,10.19
"GSM5599223_Norm4",5853,0,3313,12457,10.19
"GSM5599224_Norm5",3713,0,2293,7460,11.83
"GSM5599225_Cancer1",6977,0,1942,5374,14.75
"GSM5599226_Cancer2",3473,0,2942,10181,13.46
"GSM5599227_Cancer3",4389,0,1745,4685,10.07
"GSM5599228_Cancer4",2354,0,2208.5,7018.5,19.91
"GSM5599229_Cancer5",5047,0,1588,4080,9.61
"GSM5599230_Cancer6",4253,0,3067,10295,9.41
"GSM5599231_Cancer7",4435,0,1313,3381,9.38
