"Sample","Cells_Before_QC","Cells_After_QC","Cells_Removed","Retention_Rate_Pct"
"GSM5599220_Norm1",5831,5831,0,100
"GSM5599221_Norm2",6000,4671,1329,77.85
"GSM5599222_Norm3",6000,4107,1893,68.45
"GSM5599223_Norm4",6000,5853,147,97.55
"GSM5599224_Norm5",6000,3713,2287,61.88
"GSM5599225_Cancer1",6977,6977,0,100
"GSM5599226_Cancer2",3473,3473,0,100
"GSM5599227_Cancer3",6000,4389,1611,73.15
"GSM5599228_Cancer4",6000,2354,3646,39.23
"GSM5599229_Cancer5",6000,5047,953,84.12
"GSM5599230_Cancer6",6000,4253,1747,70.88
"GSM5599231_Cancer7",6000,4435,1565,73.92
