"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.24186387135414,0.166,0.007,0,"0","LINC00861"
0,6.15971339720219,0.324,0.018,0,"0","KLRB1"
0,5.94000251853591,0.258,0.015,0,"0","GZMK"
0,5.78858388883453,0.102,0.006,0,"0","FCRL6"
0,5.62196968478008,0.137,0.008,0,"0","TRGC1"
0,5.52508098771594,0.356,0.028,0,"0","KLRD1"
0,5.51062052427361,0.403,0.025,0,"0","GZMM"
0,5.42725628248844,0.172,0.01,0,"0","SCML4"
0,5.41043700688001,0.1,0.007,0,"0","ZNF831"
0,5.38691678441144,0.367,0.09,0,"0","GNLY"
0,4.70039169689175,0.102,0.015,0,"1","SST"
0,4.48458578268652,0.149,0.009,0,"1","TMC5"
0,4.40072472139921,0.293,0.019,0,"1","EHF"
0,4.32678846529952,0.121,0.01,0,"1","RNF183"
0,4.21555461032636,0.215,0.015,0,"1","KRT23"
0,4.21354920549876,0.101,0.009,0,"1","SHANK2"
0,4.19425291680119,0.167,0.011,0,"1","GGT6"
0,4.17066898059134,0.27,0.025,0,"1","AC007906.2"
0,4.16854699360371,0.229,0.016,0,"1","TMPRSS4"
0,4.15763085601713,0.437,0.069,0,"1","ELF3"
0,5.43107544627127,0.222,0.058,0,"2","MMP11"
0,5.33015195187591,0.113,0.008,0,"2","SFRP2"
0,5.10346959083286,0.126,0.009,0,"2","COL10A1"
0,5.01541806182571,0.132,0.008,0,"2","SCG2"
0,4.99618900887134,0.179,0.008,0,"2","FNDC1"
0,4.67602629974613,0.976,0.266,0,"2","COL1A1"
0,4.5177322732317,0.416,0.018,0,"2","ITGA11"
0,4.47129367328559,0.969,0.27,0,"2","COL1A2"
0,4.46566876912108,0.12,0.009,0,"2","PI16"
0,4.40558112045202,0.15,0.009,0,"2","ITGBL1"
0,9.72286910737056,0.101,0.001,0,"3","S100A12"
0,8.46748280239406,0.33,0.001,0,"3","FPR1"
0,8.31775682334391,0.324,0.004,0,"3","P2RY13"
0,8.24746579377185,0.251,0.004,0,"3","FCN1"
0,8.04955962071302,0.203,0.002,0,"3","CD300E"
0,8.04771363414708,0.154,0.001,0,"3","CLEC10A"
0,7.99813489187314,0.668,0.008,0,"3","MS4A7"
0,7.98740851352423,0.274,0.002,0,"3","FCGR1B"
0,7.9851476105664,0.545,0.03,0,"3","IL1B"
0,7.98017702474302,0.113,0,0,"3","LILRA5"
0,7.84789639213702,0.242,0.003,0,"4","SELE"
0,7.61847671990253,0.965,0.048,0,"4","VWF"
0,7.61765083645435,0.356,0.006,0,"4","ACKR1"
0,7.60829746509815,0.261,0.002,0,"4","FAM9C"
0,7.4315878887287,0.72,0.008,0,"4","PCDH17"
0,7.26991279853634,0.842,0.012,0,"4","PTPRB"
0,7.23961527417462,0.595,0.003,0,"4","ARHGEF15"
0,7.20502822494048,0.873,0.012,0,"4","CDH5"
0,7.11210153641212,0.197,0.003,0,"4","MMRN1"
0,7.10705496606935,0.827,0.011,0,"4","ROBO4"
0,6.49643574475972,0.126,0.004,0,"5","C2orf48"
0,6.47724925893794,0.174,0.006,0,"5","AC007240.1"
0,5.76745937233107,0.746,0.047,0,"5","ASPM"
0,5.745161482589,0.499,0.017,0,"5","KIF15"
0,5.66785054852304,0.356,0.012,0,"5","KIF18B"
0,5.6027413527909,0.573,0.024,0,"5","DLGAP5"
0,5.5911054246996,0.182,0.006,0,"5","FBXO43"
0,5.59014964812225,0.516,0.018,0,"5","SPC25"
0,5.58761468377866,0.667,0.03,0,"5","KNL1"
0,5.55589317816171,0.446,0.018,0,"5","KIF14"
0,9.78248167697431,0.105,0.002,0,"6","IGLV3-10"
0,9.52544559570206,0.185,0.002,0,"6","IGHV3-23"
0,9.34819714841348,0.122,0,0,"6","IGLV6-57"
0,9.16414649930411,0.208,0.003,0,"6","IGLL5"
0,8.79269674921516,0.782,0.188,0,"6","IGLC3"
0,8.79234593150981,0.752,0.022,0,"6","IGHG2"
0,8.71783628723881,0.956,0.204,0,"6","IGHG1"
0,8.55006000623885,0.163,0.003,0,"6","IGKV4-1"
0,8.42426399485952,0.959,0.341,0,"6","IGLC2"
0,8.35362821907148,0.107,0.003,0,"6","IGHV4-39"
0,8.76303664175279,0.372,0.004,0,"7","RERGL"
0,8.69724257557105,0.212,0.002,0,"7","CASQ2"
0,8.0168743161462,0.295,0.003,0,"7","HRC"
0,7.78767710232641,0.248,0.003,0,"7","NTRK3"
0,7.75287660712739,0.119,0.001,0,"7","EBF2"
0,7.69832958746491,0.299,0.003,0,"7","SGCA"
0,7.42008449664059,0.192,0.003,0,"7","KCNA5"
0,7.40348432852537,0.731,0.042,0,"7","RGS5"
0,7.38931934896779,0.109,0.001,0,"7","OR51E2"
0,7.38028545555707,0.54,0.008,0,"7","COX4I2"
